Type,Blending_Time,LPM,IP (mg),PRE (mg),Stage 1 (mg),Stage 2 (mg),Stage 3 (mg),Stage 4 (mg),Stage 5 (mg),Stage 6 (mg),Stage 7 (mg),Stage 8 (mg),Remaining (mg),Mouth (mg),PTP/Vial (mg),ED (mg),FPD (mg),FPF (%),RD (mg),SUM_ALL (mg),19.9008,19.8811,19.9205,15.8019,18.8761,19.8614,16.5704,23.7239,15.3092,16.6493,diam_um_d10,diam_um_d50,diam_um_mean,diam_um_d90,diam_um_span,length_um_d10,length_um_d50,length_um_mean,length_um_d90,length_um_span,width_um_d10,width_um_d50,width_um_mean,width_um_d90,width_um_span,area_um2_d10,area_um2_d50,area_um2_mean,area_um2_d90,area_um2_span,aspect_ratio_median,aspect_ratio_mean,azimuth_deg_sin_mean,azimuth_deg_cos_mean,polar_deg_sin_mean,polar_deg_cos_mean,FPO_sin_mean,FPO_cos_mean,FAD_sin_mean,FAD_cos_mean,MFOV_mean,MFOV_max,MFOV_min,MRV_mean,MRV_max,MRV_min,SA_mean,SA_max,SA_min,azimuth_deg_sin_std,azimuth_deg_cos_std,polar_deg_sin_std,polar_deg_cos_std,FPO_sin_std,FPO_cos_std,FAD_sin_std,FAD_cos_std
NE_Raw_2,60,60,2.75807264,2.291971623,0.350265512,0.389061163,0.293355882,0.295863306,0.171106829,0.049392488,0.015377157,0.014647571,2.597299068,0.531034284,4.039484764,6.629114171,0.839743233,12.66750294,9.226413238,13.79693229,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,90,60,2.867731095,2.345229086,0.322509309,0.346484899,0.27145527,0.261260274,0.153711411,0.047261407,0.012605352,0.01111818,2.362833492,0.435289384,4.215877452,6.639366284,0.757411894,11.40789439,9.002199776,13.65336661,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,90,60,3.45102273,2.472631986,0.255856764,0.317346451,0.247896376,0.243640129,0.174056988,0.066628696,0.017717917,0.016941782,2.480681262,0.540397041,4.105011466,7.263739819,0.766881888,10.55767286,9.744421081,14.38982959,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,90,60,2.839427685,2.898669749,0.29264929,0.330238775,0.225657185,0.24174018,0.156595528,0.06880419,0.017603225,0.014773532,2.075127532,0.513323421,3.906545691,7.086159339,0.725173841,10.23366546,9.161286871,13.58115598,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Needle_1,30,40,1.778791975,5.358264646,0.235529596,0.251149976,0.277214264,0.573666616,0.609248461,0.232663399,0.04098016,0.016497436,0.968183768,0.939298992,2.616756393,9.374006528,1.750270335,18.67152887,10.3421903,13.89824568,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,40,2.302101044,3.854751572,0.200221792,0.233679626,0.229782957,0.436087953,0.476639287,0.252775639,0.040979075,0.013666448,0.673317355,1.621447802,3.001602693,8.040685392,1.449931358,18.03243489,8.714002747,13.33705324,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,30,40,1.946515023,4.844538494,0.215114826,0.240920857,0.20881622,0.385097471,0.548746441,0.305063808,0.061554175,0.021578047,1.608137452,0.744806114,2.930131993,8.777945363,1.530856163,17.43980054,10.38608281,14.06102092,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,60,40,1.622573089,4.723353477,0.202421751,0.222190617,0.22598362,0.420158708,0.61839881,0.341934627,0.065286244,0.01871577,1.536551606,0.676276404,3.230580271,8.461016712,1.690477778,19.97960571,9.997568318,13.90442499,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,60,40,1.6951017,4.736657369,0.251739742,0.276890629,0.275969319,0.599467782,0.777000558,0.415087022,0.068073239,0.019185314,1.56688285,0.380308051,3.085033836,9.115172674,2.154783234,23.63952183,10.68205552,14.14739741,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,60,40,2.150433971,5.239403728,0.240414843,0.267647183,0.249466741,0.393003891,0.402637644,0.213987967,0.042670255,0.015242202,1.347669711,0.529731696,2.681581368,9.214908425,1.3170087,14.2921518,10.56257814,13.7738912,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
