metric,value,unit
n_crystals,209,—
um_per_px,0.1234567901234568,µm/px
Rq,8.6139,µm
Ra,7.3956,µm
Rsk,1.2285,—
Rku,0.4761,—
Rv,5.9732,µm
Rp,25.5083,µm
Rt,31.4815,µm
Rc,9.719,µm
FPO,87.744,°
MFOV,0.808,°
FAD,9.608,°
MRV,0.0685,—
SA,45637.4141,µm²
FFT_dominant_angle,0.0,°
Radon_dominant_angle,90.0,°
