id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.834,2.261,1.641,1.378,2.6406,4.1563,3.8182,-0.7527,-1.3574,6.1092,5.4341,11.5432,2.7769,22.44,54.03,86.808,1.259,150.284,0.0891,33.8057,4.5038,3.881,-0.3747,-1.0547,5.9639,6.5812,12.5249,3.7326,88.1695,0.6464,116.8511,0.2616,29.68,0.2337,0.591
2,2.84,4.387,2.241,1.957,6.3367,5.1655,5.0807,-0.1328,-1.8944,5.6444,8.2445,13.8889,4.6193,169.03,62.94,87.583,0.922,20.636,0.2087,105.2859,4.8439,3.9764,-0.4124,-1.6344,6.7029,7.9184,14.5701,4.0678,89.2489,0.2775,93.1356,0.1728,44.832,0.0566,0.4792
3,1.564,2.332,1.254,1.859,1.9204,5.075,5.0281,-0.0518,-1.9325,5.2927,7.2999,12.5926,4.7886,166.81,61.73,87.386,0.743,163.872,0.1666,29.1545,4.7024,3.938,-0.2148,-1.305,5.7951,7.3317,13.2071,4.2369,88.8383,0.5118,113.2811,0.3154,26.5002,0.2045,0.5673
4,1.66,2.194,1.634,1.343,2.1643,5.0706,5.0158,0.1961,-1.886,4.6794,8.4071,13.0864,5.4043,72.39,53.33,87.22,0.948,10.019,0.3098,32.2752,4.7252,3.9248,-0.2503,-0.8538,6.1346,7.5689,13.7362,4.0893,87.895,0.8201,77.4646,0.2858,40.4996,-0.0272,-0.2542
5,1.166,1.672,0.904,1.849,1.0669,5.5355,5.0975,-0.5513,-1.4571,7.6462,8.0945,15.7407,3.8231,179.88,61.59,88.069,0.746,21.871,0.2421,22.186,4.7547,3.9343,-0.1568,-0.974,6.4784,7.1295,13.6077,4.6658,88.6506,0.7007,86.4319,0.3482,24.5666,-0.009,0.3118
6,0.672,1.194,0.464,2.574,0.3544,6.0071,5.8718,0.3823,-1.7695,5.069,10.1779,15.2469,6.9767,54.17,68.77,89.053,0.235,156.57,0.2871,14.539,4.9092,3.9801,-0.157,-2.3651,5.8617,8.0885,14.2278,4.834,89.813,0.1465,126.0385,0.5467,10.0661,0.3446,-0.2802
7,0.54,1.101,0.293,3.755,0.2286,5.4576,5.3562,0.3656,-1.8308,4.591,8.4336,13.0247,6.4275,110.54,75.09,88.406,0.47,16.2,0.8182,5.5718,4.8388,3.9543,0.0151,-1.5387,5.6833,7.4557,13.1886,5.0145,89.2787,0.5147,77.3695,0.5347,8.4124,-0.0577,-0.4054
8,0.836,1.994,0.493,4.044,0.5487,3.7575,3.7391,0.1043,-1.9579,3.5953,5.0467,8.642,3.8949,6.16,76.11,86.306,1.059,34.4,0.095,5.9006,3.988,3.7247,-0.3746,-1.6036,5.0682,5.135,10.0596,3.4472,87.7936,0.7615,109.7398,0.2696,10.3808,0.1376,0.4462
9,1.104,1.296,0.969,1.337,0.9564,3.519,3.289,-0.6267,-1.5114,4.8947,4.3029,9.1975,2.4766,107.92,53.21,86.787,0.775,39.427,0.2999,11.8013,3.5334,3.4609,-0.3029,-1.0639,4.5265,4.5191,9.028,3.1797,85.7735,1.3504,90.6871,0.332,9.0323,-0.033,-0.3611
10,1.26,1.397,1.158,1.206,1.246,4.5055,2.992,-1.4649,1.247,10.5097,5.2311,15.7407,2.1666,89.63,50.34,88.776,0.416,172.565,0.3724,38.1924,4.8219,3.9316,-0.4429,-0.4775,7.6375,7.3889,14.9322,4.1036,88.3666,0.5664,89.0085,0.38,42.3385,0.0104,-0.5376
11,1.751,2.601,1.353,1.923,2.4082,3.4581,3.3399,-0.4379,-1.7521,4.3555,4.163,8.5185,2.7084,12.41,62.52,85.05,1.1,84.507,0.0821,19.5333,4.1891,3.8325,-0.443,-1.7719,5.3721,5.552,10.7145,3.3336,87.8891,0.5596,103.7054,0.1891,21.7523,0.0702,0.5866
12,1.884,2.284,1.721,1.327,2.7892,3.5706,3.2022,-0.8051,-1.1973,5.4563,5.4696,10.9259,2.266,22.92,53.0,87.18,1.014,112.011,0.18,37.8869,4.0069,3.7132,-0.378,-0.6458,5.4383,5.7727,11.1104,3.2718,85.7021,1.2011,98.0869,0.2372,31.6012,0.0929,0.2548
13,0.435,0.658,0.293,2.243,0.1486,4.8119,4.7712,-0.1368,-1.94,5.2049,5.721,10.9259,4.4041,133.54,65.97,88.176,0.478,35.069,0.7989,3.1141,4.4976,3.8308,-0.0564,-1.3043,5.3238,5.828,11.0852,4.5303,87.9597,1.1596,61.2266,0.3904,5.321,-0.2384,-0.0655
14,0.483,0.784,0.342,2.291,0.1829,3.6981,3.6675,0.1091,-1.9195,3.5597,5.5761,9.1358,3.7822,62.75,66.42,87.936,0.486,162.25,0.9102,3.2575,3.7409,3.5806,-0.1813,-0.4268,4.7993,5.1096,9.9221,3.6681,86.9406,1.4019,112.3405,0.5022,5.8967,0.1553,-0.1514
15,0.394,0.609,0.306,1.993,0.1219,3.7795,3.7545,-0.1074,-1.9543,4.0226,4.4959,8.5185,3.5198,175.61,63.36,87.598,0.647,98.053,0.5115,2.0181,3.5904,3.4554,-0.1782,-0.6003,4.5564,5.1371,9.6387,3.5242,85.1137,1.9625,103.2837,0.3722,9.8501,0.0464,0.177
16,2.095,2.523,1.922,1.313,3.4484,3.4209,3.274,-0.4582,-1.7003,4.3856,4.565,8.9506,2.612,106.7,52.7,86.212,1.234,145.921,0.104,36.3645,3.8286,3.6496,-0.5134,-1.6613,4.8858,5.3288,10.1494,2.6974,85.6723,0.786,98.4974,0.2013,30.5894,0.0037,-0.6186
17,0.615,0.756,0.634,1.192,0.2972,3.6198,3.5962,-0.1683,-1.953,3.9558,3.9454,7.9012,3.2965,33.11,50.01,84.475,1.262,175.548,0.4591,2.2001,3.9408,3.6677,-0.1584,-1.0378,4.664,5.4865,10.1239,3.8205,87.3179,1.2898,108.6743,0.3947,6.9022,0.1158,0.3303
18,3.426,4.236,2.906,1.458,9.2173,4.3179,4.0371,-0.6037,-1.5193,5.9627,6.5064,12.4691,3.0516,25.6,55.55,86.568,1.188,124.96,0.1085,109.96,4.6053,3.9317,-0.3782,-1.3864,5.9434,6.9825,12.9439,3.7342,88.3887,0.4676,101.5832,0.1834,38.5084,0.1596,0.6283
19,0.435,0.539,0.495,1.088,0.1486,4.7179,4.6818,0.1161,-1.9303,4.5146,6.5348,11.0494,4.8618,44.04,47.42,88.115,0.445,39.623,0.8676,3.198,4.6522,3.9014,0.0729,-1.4529,4.95,6.6505,11.5866,4.8542,88.648,1.0447,61.1679,0.4517,5.0214,-0.2091,-0.2093
20,2.632,3.102,2.506,1.238,5.4412,3.6995,3.6392,-0.0956,-1.8947,3.9777,5.3433,9.321,3.3538,167.49,51.07,86.141,1.12,86.771,0.1387,55.8815,4.1307,3.8285,-0.4621,-1.6172,5.3384,5.883,11.0432,3.1174,86.9292,0.7191,84.8776,0.1309,37.6927,-0.0924,0.3297
21,0.642,0.92,0.491,1.874,0.3239,3.5245,3.4311,-0.418,-1.7966,4.3668,4.0282,8.3951,2.8256,15.17,61.92,85.04,0.812,64.818,0.2709,2.5426,3.9023,3.6816,-0.1808,-1.202,4.5576,5.4959,10.0105,3.7028,87.3455,1.1104,107.687,0.3688,7.8181,0.1136,0.3454
22,0.418,0.623,0.303,2.058,0.1372,4.5301,4.5225,0.01,-1.987,4.5225,5.4775,10.0,4.5225,127.46,64.09,85.795,1.017,27.286,0.4278,1.3224,4.4698,3.8329,-0.0696,-1.9422,4.7585,5.4883,10.1524,4.3805,88.4226,0.8453,56.8972,0.3653,3.0624,-0.2474,-0.3221
23,0.661,1.099,0.414,2.652,0.3429,5.8589,5.3895,-0.5009,-1.4824,7.967,7.7737,15.7407,4.072,83.89,69.34,89.098,0.274,172.756,0.7877,14.7634,4.9128,3.9792,-0.0939,-1.9472,6.049,7.9254,14.0938,5.017,89.6625,0.2199,92.9743,0.5845,9.3871,0.1103,-0.5977
24,0.97,1.478,0.695,2.126,0.7392,5.4624,4.9207,-0.5149,-1.3406,7.6485,8.0922,15.7407,3.6271,6.84,64.81,88.33,0.857,12.251,0.639,18.615,4.835,3.9572,-0.2905,-1.4961,6.2443,7.5972,13.8751,4.3245,89.5098,0.3175,125.3222,0.442,19.2672,0.3491,0.4588
25,1.216,2.409,0.796,3.027,1.1622,3.9385,3.8395,-0.3069,-1.8402,4.6687,4.9609,9.6296,3.2604,101.65,71.72,87.385,0.85,141.752,0.0246,17.3107,3.8694,3.6328,-0.3585,-1.5202,4.6572,4.6974,9.315,3.144,87.4814,0.7839,98.7085,0.3431,7.5844,-0.0283,-0.4882
26,0.932,1.418,0.779,1.819,0.6821,3.6391,3.5228,-0.3939,-1.7689,4.503,5.0031,9.5062,2.893,88.75,61.2,86.967,1.032,20.861,0.5097,8.8293,3.7044,3.5711,-0.3806,-1.2559,4.7262,4.6061,9.4273,3.0567,86.5818,0.9394,93.0062,0.3525,9.693,0.0326,-0.6428
27,0.424,0.589,0.313,1.879,0.141,4.4926,4.4133,-0.3405,-1.8652,5.3469,4.5914,9.9383,3.7572,141.3,61.98,85.973,1.014,32.814,0.1974,1.3392,4.5183,3.8706,-0.2,-2.1968,5.0249,5.6851,10.5743,4.135,88.5651,0.6594,51.6462,0.2292,7.975,-0.3048,-0.1127
28,1.127,1.458,0.892,1.634,0.9983,3.5432,3.2484,-0.7974,-1.3048,5.2926,3.9049,9.1975,2.3433,126.95,58.53,85.722,1.063,27.357,0.0914,9.3926,4.0255,3.6847,-0.3039,-1.8602,4.7063,4.8927,9.5935,3.4216,86.8184,0.9574,56.8468,0.2213,12.5658,-0.2466,-0.6029
29,0.794,1.799,0.428,4.201,0.4954,3.7145,3.6448,0.3569,-1.8139,3.1534,6.4145,9.5679,4.3177,103.59,76.61,87.823,0.557,6.854,0.5925,8.6926,3.8033,3.6072,-0.2988,-0.9797,4.7817,4.8146,9.6885,3.3304,86.3999,1.0631,92.7614,0.4244,7.5018,0.0394,-0.6011
30,0.507,0.636,0.413,1.541,0.202,3.6107,3.3218,-0.7683,-1.345,5.3287,3.4367,8.7654,2.413,175.37,57.02,87.393,0.684,100.466,0.439,3.0082,3.8139,3.6162,-0.2393,-1.5238,4.5603,4.9628,9.4419,3.5867,87.2795,1.1071,100.2228,0.3269,6.0591,0.0414,0.2115
31,0.7,1.407,0.393,3.582,0.3848,5.024,4.7804,0.6429,-1.5388,3.7022,8.7052,12.4074,6.7446,52.3,74.4,88.353,0.322,136.591,0.855,9.13,4.6695,3.9241,-0.1502,-1.9339,5.2131,6.6614,11.903,4.4005,89.412,0.4276,111.9774,0.4902,4.6641,0.2144,-0.1338
32,1.147,1.917,0.717,2.672,1.0326,4.234,4.0278,-0.254,-1.6772,5.0973,7.0015,12.0988,3.3292,71.97,69.48,88.126,0.643,169.253,0.6891,20.6081,4.3906,3.7893,-0.3719,-0.3156,5.7863,6.4329,12.2792,3.4583,87.0199,0.8826,110.6368,0.485,23.7157,0.2192,-0.668
33,3.211,3.786,2.818,1.343,8.0971,4.8,4.7229,-0.2543,-1.8861,5.5136,7.1408,12.6543,4.1306,55.43,53.34,86.598,1.149,25.036,0.1902,97.0064,4.795,3.9601,-0.3015,-1.7495,5.973,7.7596,13.8365,4.0697,88.7133,0.4665,72.6736,0.1969,41.6163,-0.0512,-0.1051
34,1.182,1.435,0.989,1.452,1.0974,3.8395,3.5495,-0.5042,-1.4894,5.2051,6.3998,11.6049,2.6929,68.22,55.44,87.693,0.946,170.911,0.4611,18.9529,3.5236,3.4679,-0.3194,-0.9661,4.5979,4.654,9.3442,3.1347,85.3909,1.3758,91.6618,0.3478,10.9796,0.0027,-0.5482
35,3.64,5.181,2.866,1.808,10.4062,5.9724,5.8595,0.0025,-1.8479,6.1876,9.5532,15.7407,5.5645,97.99,61.05,88.057,0.78,158.859,0.2805,211.7274,4.9145,3.9718,-0.5079,-1.5237,7.6174,8.0921,15.6829,4.1006,89.3574,0.2591,90.406,0.3076,45.6624,0.0505,-0.7683
36,1.661,2.016,1.426,1.414,2.1681,4.1982,3.8619,-0.6789,-1.4061,6.0307,5.5743,11.6049,2.8404,75.04,54.73,87.361,0.877,7.125,0.2384,32.4635,4.5641,3.884,-0.2113,-1.175,5.4716,6.9865,12.5337,4.0005,87.5696,1.0005,67.3156,0.262,31.6373,-0.0852,-0.2378
37,1.052,1.414,0.987,1.432,0.8688,4.3073,4.2878,0.1395,-1.9593,4.0385,5.838,9.8765,4.5699,161.35,55.07,86.001,0.952,134.985,0.1453,8.674,4.3372,3.8862,-0.2716,-2.348,4.6924,5.8284,10.4502,3.8823,89.2665,0.3412,120.6754,0.3361,4.2116,0.2021,0.5256
38,2.978,3.793,2.506,1.513,6.9654,4.2544,4.064,-0.3717,-1.678,5.3192,9.0635,14.3827,3.2881,124.73,56.54,86.753,1.295,44.15,0.0388,90.9032,4.7485,3.9573,-0.3773,-1.9211,5.8773,7.7702,13.7425,3.7322,88.583,0.4123,72.5188,0.1402,45.9311,-0.0853,-0.1915
39,0.388,0.686,0.256,2.684,0.1181,3.9004,3.8612,-0.2448,-1.9241,4.4242,4.156,8.5802,3.4252,91.46,69.56,85.885,1.044,22.478,0.4662,1.1395,4.134,3.7877,-0.3675,-1.8914,4.7932,4.8872,9.7818,3.3187,88.3186,0.4848,86.7182,0.3939,5.2875,-0.0272,-0.7362
40,2.762,3.375,2.384,1.416,5.9899,4.2138,3.8877,-0.6672,-1.4182,6.0181,6.7597,12.7778,2.8712,25.15,54.76,86.97,1.036,150.336,0.1184,79.3919,4.6057,3.9257,-0.4314,-1.5203,5.972,7.2569,13.207,3.4846,87.9195,0.5612,81.8409,0.1332,46.0058,-0.0367,0.0732
41,3.213,3.905,2.766,1.412,8.1085,4.6631,4.5702,-0.1813,-1.8585,5.2357,7.8507,13.0864,4.0548,33.01,54.69,86.724,1.083,4.06,0.0735,99.7141,4.6326,3.924,-0.3782,-1.4568,5.9743,7.1149,13.0674,3.6947,88.0035,0.6318,79.5912,0.1592,42.5913,-0.0565,0.1195
42,1.172,1.298,1.173,1.107,1.0783,4.3333,4.1752,-0.3864,-1.7229,5.3881,8.439,13.8272,3.408,23.23,47.91,86.673,1.265,127.068,0.2178,13.1998,4.5709,3.9167,-0.2261,-1.8364,5.2773,6.5512,11.8609,4.1661,89.0199,0.4741,111.5391,0.3284,9.8721,0.1996,0.6309
43,0.731,0.821,0.678,1.21,0.4191,2.9356,2.0923,-1.8172,1.4859,6.8001,2.7678,9.5679,1.2364,112.23,50.43,85.883,0.906,67.628,0.5878,3.9988,3.4828,3.4235,-0.3544,-1.2422,4.4881,4.2733,8.7792,3.01,85.741,1.1332,89.445,0.3155,8.5425,-0.0487,-0.5245
44,0.4,0.797,0.279,2.852,0.1257,3.6081,3.6036,0.0076,-1.9894,3.6036,4.2976,7.9012,3.6036,78.51,70.68,83.656,1.629,113.874,0.2539,0.8216,3.6721,3.5856,-0.3561,-1.5598,4.5574,4.5886,9.202,3.1719,87.2313,0.9146,99.44,0.3184,7.6936,0.047,-0.3817
45,3.068,3.901,2.598,1.502,7.3922,5.3865,4.7686,-0.7202,-1.2011,8.1289,7.6118,15.7407,3.3771,77.29,56.34,88.324,0.649,144.963,0.4512,167.5245,4.9472,3.9854,-0.3353,-1.3795,7.1855,8.7907,16.0655,4.4438,89.5903,0.1718,123.239,0.4659,43.6625,0.2804,-0.4348
46,1.698,2.253,1.337,1.685,2.2634,3.7512,3.5488,-0.5875,-1.5859,5.0889,5.158,10.2469,2.7243,74.71,59.32,86.409,1.061,80.724,0.1364,25.3921,3.8536,3.652,-0.4255,-1.6541,4.8595,4.7547,9.6592,3.091,86.4261,0.8788,69.6025,0.2076,17.6527,-0.0612,-0.5413
47,1.292,1.773,0.986,1.798,1.3108,4.401,4.2511,-0.2003,-1.7136,5.1099,9.0259,14.1358,3.6393,80.02,60.92,87.755,1.031,1.656,0.2979,23.2832,4.4937,3.8705,-0.1791,-1.4292,5.1211,6.6683,11.8428,4.0015,87.7398,0.9549,64.2699,0.2682,23.9425,-0.1385,-0.2438
