metric,value,unit
n_crystals,308,—
um_per_px,0.0617283950617284,µm/px
Rq,5.6161,µm
Ra,5.3635,µm
Rsk,0.3981,—
Rku,-1.516,—
Rv,5.0047,µm
Rp,10.736,µm
Rt,15.7407,µm
Rc,5.7785,µm
FPO,87.446,°
MFOV,1.037,°
FAD,174.571,°
MRV,0.0863,—
SA,12564.6963,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
