metric,value,unit
n_crystals,535,—
um_per_px,0.1234567901234568,µm/px
Rq,5.4838,µm
Ra,5.0094,µm
Rsk,0.9101,—
Rku,-0.7885,—
Rv,3.8155,µm
Rp,22.3573,µm
Rt,26.1728,µm
Rc,7.2908,µm
FPO,87.95,°
MFOV,0.611,°
FAD,89.87,°
MRV,0.0171,—
SA,43299.1094,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
