metric,value,unit
n_crystals,406,—
um_per_px,0.0617283950617284,µm/px
Rq,5.163,µm
Ra,4.9523,µm
Rsk,0.412,—
Rku,-1.5061,—
Rv,4.5403,µm
Rp,11.2004,µm
Rt,15.7407,µm
Rc,5.4464,µm
FPO,87.753,°
MFOV,0.916,°
FAD,178.995,°
MRV,0.1281,—
SA,13796.3896,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
