id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,3.087,4.005,2.772,1.445,7.4836,7.6102,7.2017,-0.1511,-1.6708,8.8443,14.6125,23.4568,6.1096,0.88,55.31,88.315,0.581,91.55,0.1035,170.3029,4.9961,3.9951,-0.1828,-2.0048,8.7567,9.7875,19.184,5.7005,89.8004,0.0301,91.4426,0.2896,48.8627,-0.0316,0.8165
2,3.856,5.475,3.362,1.629,11.675,9.6839,8.9354,0.0361,-1.591,10.7424,20.6157,31.358,8.2266,159.28,58.45,88.68,0.344,6.864,0.3439,327.4587,4.9964,3.9914,-0.3336,-1.4761,9.1295,9.7955,19.348,5.4587,89.7198,0.0669,54.9014,0.326,49.0742,-0.4538,0.4602
3,2.672,3.675,2.383,1.542,5.6089,7.6839,7.3168,-0.1591,-1.7523,8.8541,13.615,22.4691,6.4047,131.23,57.04,88.485,0.524,6.373,0.1921,136.6852,4.9967,3.9939,-0.2917,-1.8449,9.0268,9.8653,19.4222,5.2772,89.7226,0.0821,40.1765,0.2559,49.7964,-0.5472,-0.3828
4,4.401,6.871,3.624,1.896,15.2111,6.4111,6.0817,0.3874,-1.4042,5.8718,19.8072,25.679,6.3072,4.55,62.2,87.916,0.563,102.168,0.4158,278.3786,4.9715,3.9856,-0.0975,-1.7043,7.436,9.4284,17.7438,5.1204,89.3909,0.1159,94.6645,0.2883,47.2371,0.0376,0.6985
5,3.052,7.13,1.761,4.049,7.316,6.041,5.9311,0.2182,-1.8164,5.6015,11.312,16.9136,6.3017,9.22,76.13,87.228,0.77,107.106,0.2622,103.3481,4.9877,3.9943,-0.1253,-2.3184,7.8809,9.5398,18.2105,5.3743,89.7831,0.0337,96.574,0.2555,46.0281,0.1739,0.7314
6,1.526,2.614,1.091,2.397,1.829,8.6627,8.1762,0.1091,-1.6674,8.9938,16.3148,25.3086,7.4949,8.99,67.35,88.996,0.191,95.385,0.4845,67.3152,4.9942,3.9928,-0.2587,-1.6441,8.8102,9.6703,18.991,5.7431,89.7766,0.0318,111.8724,0.3583,46.7022,0.2231,0.8338
7,3.769,7.099,2.648,2.681,11.1568,5.6221,5.3097,0.6476,-1.3588,4.3187,13.9529,18.2716,6.8911,40.71,69.55,87.676,0.741,149.877,0.2994,189.6107,4.8864,3.9804,0.0164,-1.918,5.4466,8.8779,15.0548,4.9791,89.1223,0.1808,133.0527,0.3884,41.8234,0.5567,-0.1549
8,2.211,3.381,1.591,2.125,3.8409,4.9105,4.3097,-0.8572,-1.0633,7.7767,6.5443,14.321,3.0238,6.59,64.8,86.686,1.032,128.839,0.1359,45.1857,4.9213,3.9672,-0.2095,-1.4265,7.0019,8.7197,16.3339,4.7963,88.9575,0.1727,116.7589,0.3014,41.1673,0.2812,0.8474
9,1.198,2.699,0.652,4.138,1.1279,8.86,8.5965,0.3162,-1.7439,7.9127,16.6552,24.5679,9.4097,10.2,76.42,88.185,0.48,24.028,0.643,22.8861,4.9634,3.9725,-0.2589,-1.5367,8.0711,8.9829,17.4768,5.146,89.4869,0.0933,95.5484,0.3786,31.1004,0.1896,0.7563
10,5.74,10.411,4.837,2.152,25.8802,8.0122,7.7399,0.3887,-1.6586,6.9406,18.4915,25.4321,8.7472,167.43,65.08,87.909,0.62,90.811,0.1094,480.6359,4.9977,3.9967,-0.322,-2.1722,9.0452,9.8167,19.3466,5.5078,89.8658,0.022,70.8536,0.1989,49.382,-0.1877,0.7743
11,4.72,5.344,4.858,1.1,17.4973,5.9251,5.7881,0.1807,-1.7826,5.6673,12.6043,18.2716,5.9142,140.14,47.73,87.089,0.75,11.486,0.2309,235.7232,4.9762,3.9852,-0.3617,-1.5845,7.9776,9.4992,18.1604,4.4382,89.2613,0.2287,61.5291,0.1958,49.4829,-0.2939,-0.3884
12,1.19,1.668,1.104,1.51,1.1126,4.7953,4.7216,0.0005,-1.8874,4.933,7.1658,12.0988,4.5275,15.39,56.49,87.165,0.517,92.097,0.3036,15.147,4.8599,3.9781,-0.2827,-2.7573,5.9657,7.5959,13.3545,4.2428,89.5775,0.0439,114.0624,0.2812,15.4201,0.4676,0.8269
13,1.284,2.153,1.005,2.143,1.2955,4.551,4.4939,0.0505,-1.9001,4.5481,7.0569,11.6049,4.441,114.36,64.98,86.86,0.743,83.503,0.2102,15.7305,4.7024,3.9413,-0.1836,-1.7776,5.6436,7.5741,13.2995,4.2875,88.5668,0.4615,96.7743,0.393,24.3491,0.2587,-0.6015
14,1.106,1.363,1.033,1.319,0.9602,5.123,4.8945,-0.157,-1.7577,5.8733,7.46,13.3333,4.1952,24.21,52.83,88.05,0.332,139.304,0.4449,18.5924,4.8392,3.9707,-0.192,-2.1202,5.9242,7.8973,14.0208,4.6789,89.2235,0.0812,137.281,0.3707,22.5982,0.5866,0.7964
