metric,value,unit
n_crystals,410,—
um_per_px,0.1234567901234568,µm/px
Rq,6.4885,µm
Ra,6.0254,µm
Rsk,0.6721,—
Rku,-0.9318,—
Rv,5.336,µm
Rp,26.0221,µm
Rt,31.358,µm
Rc,6.9222,µm
FPO,87.506,°
MFOV,0.798,°
FAD,120.32,°
MRV,0.026,—
SA,46204.7617,µm²
FFT_dominant_angle,0.0,°
Radon_dominant_angle,90.0,°
