id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.975,2.142,1.96,1.093,3.0636,4.0533,3.734,-0.4716,-1.5152,5.441,6.0405,11.4815,2.8423,95.04,47.54,87.028,0.761,15.47,0.1976,39.0469,4.6583,3.9657,-0.2508,-1.9003,5.2657,7.6161,12.6455,3.7272,88.7907,0.1779,60.4718,0.2618,36.031,0.0013,-0.7272
2,2.108,4.145,1.174,3.531,3.4903,4.4673,4.159,-0.3223,-1.599,5.6328,8.0709,13.7037,3.3108,1.84,74.19,87.556,0.747,65.927,0.2158,55.0525,4.658,3.9414,-0.1883,-0.9933,5.6563,8.2918,14.1201,4.0191,87.0944,0.6715,75.4948,0.2682,43.1877,-0.1523,0.5788
3,2.504,3.895,2.003,1.945,4.923,5.6099,5.2793,0.0584,-1.6365,6.0093,11.1512,17.1605,4.7219,11.82,62.79,88.25,0.57,67.059,0.1667,104.09,4.8076,3.9636,-0.1822,-1.0456,6.0141,8.8482,15.3461,4.1617,87.7087,0.513,77.0822,0.2466,46.7941,-0.0762,0.4849
4,3.246,4.49,2.695,1.666,8.2762,5.1187,4.5515,-0.1725,-1.3813,6.4612,10.8227,17.284,3.6239,2.44,59.02,87.861,0.599,7.775,0.1634,147.5547,4.916,3.9934,-0.0446,-2.0534,5.7785,9.4003,16.1573,4.3363,89.4402,0.0879,67.5488,0.2069,48.6242,-0.2489,0.8096
5,1.182,1.505,1.303,1.155,1.0974,4.279,4.1509,-0.0344,-1.8198,4.566,6.5451,11.1111,3.805,166.73,49.11,87.638,0.636,172.945,0.1845,17.9331,4.052,3.8479,-0.234,-0.959,4.9654,6.1774,11.0549,3.6878,85.8452,0.9862,85.5526,0.319,22.2447,-0.0893,0.5838
6,1.74,3.837,1.147,3.345,2.3777,4.5525,4.4047,0.0165,-1.799,4.7663,8.3201,13.0864,4.0941,6.66,73.36,87.825,0.551,9.662,0.3665,40.7891,4.8432,3.9872,-0.0852,-1.8441,5.5341,8.9505,15.0629,4.1724,88.944,0.1604,42.3534,0.2354,45.6058,-0.6491,0.5991
7,3.24,6.847,2.144,3.194,8.2457,5.2668,5.0977,0.3345,-1.637,4.7307,12.0594,16.7901,5.5265,14.19,72.61,87.639,0.608,128.073,0.1354,134.3681,4.8381,3.9791,-0.1501,-1.6009,5.8175,8.8347,15.1931,4.1603,88.8949,0.2159,78.2835,0.244,45.6025,-0.1735,0.8304
8,2.852,3.557,2.984,1.192,6.3862,6.1237,6.0191,0.1089,-1.8535,5.9977,11.9035,17.9012,6.0407,55.39,50.01,87.589,0.595,31.488,0.1169,101.1371,4.9346,3.9785,-0.2893,-1.3815,7.1466,9.3382,17.3434,4.3651,88.7623,0.2729,104.9508,0.215,48.5358,0.6289,0.0422
9,6.921,9.779,5.85,1.672,37.6162,7.0455,6.8535,-0.0472,-1.8281,7.5397,13.5714,21.1111,6.2865,173.17,59.11,87.614,0.63,27.966,0.1411,615.3103,4.986,3.9976,-0.2249,-2.0142,7.9574,9.6881,18.7716,4.893,89.4479,0.0494,41.3516,0.1865,48.0795,-0.6795,0.8308
10,1.672,2.574,1.467,1.754,2.1948,4.9879,4.8893,0.3601,-1.7979,4.2407,9.463,13.7037,5.7721,131.17,60.32,86.266,0.851,55.667,0.3599,22.7009,4.7008,3.9789,-0.0179,-1.972,5.1487,8.1997,13.5058,4.2387,89.0501,0.1139,39.1996,0.314,29.9288,-0.6883,-0.164
