metric,value,unit
n_crystals,565,—
um_per_px,0.1234567901234568,µm/px
Rq,5.5078,µm
Ra,5.0357,µm
Rsk,0.887,—
Rku,-0.6747,—
Rv,4.0035,µm
Rp,22.6632,µm
Rt,26.6667,µm
Rc,6.7855,µm
FPO,87.795,°
MFOV,0.664,°
FAD,62.218,°
MRV,0.0372,—
SA,43699.375,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
