metric,value,unit
n_crystals,524,—
um_per_px,0.1234567901234568,µm/px
Rq,14.0445,µm
Ra,13.7985,µm
Rsk,0.0789,—
Rku,-1.889,—
Rv,13.9157,µm
Rp,17.5658,µm
Rt,31.4815,µm
Rc,13.6857,µm
FPO,88.336,°
MFOV,0.701,°
FAD,178.054,°
MRV,0.0842,—
SA,76252.0469,µm²
FFT_dominant_angle,91.0,°
Radon_dominant_angle,90.0,°
