metric,value,unit
n_crystals,418,—
um_per_px,0.1234567901234568,µm/px
Rq,6.8329,µm
Ra,6.3513,µm
Rsk,0.6366,—
Rku,-0.9729,—
Rv,5.7216,µm
Rp,25.6364,µm
Rt,31.358,µm
Rc,7.1423,µm
FPO,87.528,°
MFOV,0.793,°
FAD,128.384,°
MRV,0.0277,—
SA,47834.1562,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
