id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,6.286,8.241,5.11,1.613,31.0319,6.5175,5.3868,-0.5262,-0.9897,10.3443,12.8656,23.2099,4.5562,13.86,58.2,88.067,0.612,175.494,0.2212,618.2949,4.9874,3.9878,-0.3362,-1.9824,8.3109,9.7631,18.984,5.0381,89.3369,0.0902,139.0664,0.2802,49.5434,0.4979,0.3795
2,2.755,3.439,2.395,1.436,5.9595,5.8363,5.123,-0.484,-1.3057,8.2509,10.1441,18.3951,3.7336,163.22,55.14,87.44,0.64,77.403,0.1694,90.1735,4.9744,3.9801,-0.4463,-1.8863,8.0337,9.4089,18.0999,4.5469,89.2908,0.0803,69.7724,0.2381,46.7772,-0.0836,0.8285
3,3.557,5.423,2.501,2.169,9.9375,7.5222,6.0763,-1.1295,-0.2632,14.305,11.2506,25.5556,4.4181,178.59,65.25,87.634,0.692,7.965,0.2008,162.0296,4.9983,3.9967,-0.5931,-2.6791,9.2559,9.9032,19.606,5.1291,89.8376,0.0107,56.0134,0.1571,49.6967,-0.1814,0.9434
4,1.57,2.754,1.016,2.711,1.9357,5.5354,5.0326,-0.5238,-1.4208,7.6707,8.7491,16.4198,3.7447,174.48,69.75,87.269,0.698,30.381,0.3136,28.096,4.8365,3.9402,-0.403,-1.6902,6.6978,8.3568,15.4935,3.8017,88.8182,0.2134,59.319,0.2119,39.9427,-0.3263,0.7583
5,0.955,1.186,0.87,1.363,0.7164,3.9207,3.8309,-0.3093,-1.842,4.6435,4.8627,9.5062,3.2603,148.61,53.74,84.002,1.07,174.635,0.2327,4.815,3.918,3.7776,-0.3132,-1.3794,5.0367,5.5548,10.4579,3.4709,86.2833,0.9742,77.7213,0.2269,14.561,-0.297,0.2882
6,1.5,2.05,1.266,1.619,1.768,4.2257,4.0537,-0.4231,-1.7194,5.3384,5.6493,10.9877,3.2674,5.72,58.3,85.091,1.06,27.583,0.1535,14.4001,4.2982,3.8461,-0.4171,-1.4572,5.6356,6.4155,11.7577,3.3285,87.3318,0.5076,79.1567,0.2163,24.6505,-0.1843,0.6692
7,1.879,3.433,1.15,2.986,2.774,4.6977,4.2801,-0.5603,-1.4253,6.5661,7.508,14.0741,3.1748,179.76,71.48,87.536,0.739,66.633,0.1748,45.4084,4.5832,3.8924,-0.4517,-1.406,6.1996,7.3389,13.8116,3.378,87.9778,0.3619,69.9168,0.2069,35.0451,-0.2423,0.7298
8,3.883,9.779,2.102,4.653,11.8427,5.5916,5.3576,0.1205,-1.7023,5.681,10.8622,16.5432,5.0811,2.88,77.87,87.379,0.919,72.371,0.0724,180.3901,4.9427,3.9719,-0.4271,-1.7745,7.2284,9.1837,17.0908,3.9244,89.0308,0.1417,100.0028,0.2202,48.4269,0.151,0.6823
9,1.005,1.2,0.907,1.323,0.7926,4.7071,4.6664,-0.0572,-1.9393,4.9146,5.9496,10.8642,4.442,0.2,52.93,85.673,0.923,145.406,0.1473,7.6821,4.3305,3.8399,-0.3219,-1.3523,5.3216,6.0307,11.0054,3.7105,86.5396,0.7927,102.4043,0.2864,17.7435,0.1577,0.3669
10,0.881,1.271,0.643,1.977,0.6097,4.6048,4.4788,-0.4052,-1.7963,5.6846,5.0561,10.7407,3.695,95.11,63.17,84.389,1.545,78.431,0.3064,4.345,4.275,3.8434,-0.2295,-1.8083,4.8142,5.4031,10.0235,3.8753,86.5012,1.0284,114.4522,0.2733,10.7378,0.2151,-0.1864
11,1.636,2.23,1.337,1.667,2.1033,5.3833,5.1671,-0.2194,-1.7656,6.2974,8.1471,14.4444,4.3808,66.53,59.05,87.885,0.563,70.174,0.0545,38.2701,4.9225,3.9694,-0.2381,-1.6294,6.8962,8.9139,16.5477,4.6421,88.75,0.3474,90.8804,0.2749,43.9046,0.0619,-0.0581
12,2.565,4.78,1.559,3.066,5.1669,7.4147,7.2766,0.2361,-1.7926,6.8253,15.5204,22.3457,7.7917,68.26,71.94,87.954,0.671,160.81,0.4882,98.4266,4.9903,3.9928,-0.2267,-2.4944,8.0716,9.6999,18.6913,5.4335,89.5147,0.1037,139.6236,0.3049,48.648,0.6731,-0.0376
13,2.397,2.724,2.267,1.201,4.5115,6.2622,4.8427,-0.8053,-0.3352,11.7171,10.8755,22.5926,3.9374,101.31,50.23,88.399,0.436,13.81,0.4974,109.8495,4.9914,3.9943,-0.2179,-2.2793,8.4329,9.7819,19.2241,5.2851,89.5621,0.0946,52.1748,0.1818,49.2122,-0.6335,-0.5941
14,0.847,1.115,0.894,1.247,0.5639,5.8477,5.7386,0.3782,-1.8339,4.8724,8.5844,13.4568,6.9794,28.79,51.28,84.052,1.089,145.468,0.256,3.8736,4.941,3.9773,-0.2159,-3.0401,6.9013,7.6563,14.0273,5.2455,89.0929,0.0976,134.0208,0.3209,3.9902,0.6279,0.1716
15,1.955,2.2,2.022,1.088,3.0026,5.0627,4.9233,-0.2153,-1.8414,5.8061,7.4038,13.2099,4.2735,47.43,47.41,86.975,1.089,168.089,0.1236,40.2375,4.8534,3.9551,-0.3148,-1.7604,6.1483,8.1945,14.4586,4.1249,88.1225,0.4293,149.6743,0.3309,42.4459,0.7356,0.0171
16,2.694,3.47,2.218,1.565,5.7004,4.9096,4.3098,-0.8218,-1.1068,7.674,7.1408,14.8148,3.0042,65.22,57.42,86.658,0.982,113.353,0.309,65.6858,4.8948,3.9594,-0.2972,-1.4738,6.6004,8.6882,15.8519,4.261,88.0436,0.5658,135.556,0.2737,46.8115,0.533,-0.2553
17,0.812,1.086,0.659,1.649,0.5182,4.3268,4.1576,-0.5056,-1.7021,5.6127,4.6342,10.2469,3.3016,89.72,58.77,83.633,1.634,49.41,0.4229,3.3665,4.4911,3.9004,-0.132,-2.2753,4.8992,5.5918,10.6659,4.2535,87.5373,0.7082,94.706,0.2301,6.7629,-0.1656,-0.6362
18,0.934,1.536,0.647,2.376,0.6859,4.6379,4.586,0.2388,-1.8914,4.1691,6.942,11.1111,5.0956,50.54,67.18,85.498,0.733,147.22,0.5679,6.0986,4.4129,3.8959,-0.1457,-2.145,4.8619,5.7309,10.538,4.1491,87.6696,0.6616,85.5198,0.244,7.5933,-0.236,-0.3865
