metric,value,unit
n_crystals,239,—
um_per_px,0.0617283950617284,µm/px
Rq,5.7634,µm
Ra,5.1782,µm
Rsk,0.9273,—
Rku,-0.7583,—
Rv,4.0911,µm
Rp,11.6496,µm
Rt,15.7407,µm
Rc,7.0891,µm
FPO,86.931,°
MFOV,0.925,°
FAD,36.076,°
MRV,0.0502,—
SA,7200.0342,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
