id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,0.441,0.604,0.35,1.727,0.1524,5.8202,5.7901,0.0303,-1.9603,5.7901,7.6049,13.3951,5.7901,57.72,59.93,88.185,0.524,128.098,0.316,3.4604,4.8427,3.9598,-0.1936,-3.5984,5.963,7.6119,14.4926,5.4343,89.8006,0.1759,122.4167,0.2366,7.9846,0.2772,0.3772
2,0.435,0.665,0.342,1.945,0.1486,2.7879,2.7721,0.0822,-1.9503,2.7045,3.9005,6.6049,2.8432,124.15,62.78,86.017,0.952,79.005,0.3512,1.4936,2.7738,2.2385,-0.3321,-2.07,3.4052,3.4434,7.1223,2.206,87.7819,0.6743,62.5341,0.214,7.1976,-0.3584,0.2305
3,0.631,0.783,0.615,1.273,0.3125,2.8978,2.7655,-0.4715,-1.6794,3.745,3.6624,7.4074,2.1922,153.79,51.85,86.252,0.891,123.015,0.2142,3.1824,3.0867,2.8951,-0.2619,-2.4364,3.339,4.1521,7.7009,2.5741,88.5748,0.5855,83.8559,0.1857,7.5575,-0.2269,0.2884
4,0.824,2.677,0.372,7.195,0.5335,3.1687,3.1408,0.1928,-1.9167,2.911,4.9285,7.8395,3.41,177.47,82.09,86.164,0.756,26.722,0.0973,5.6024,3.3911,2.9502,-0.4029,-2.7093,3.3525,3.7434,7.4666,2.3406,88.7413,0.4032,43.1892,0.1949,4.3646,-0.5119,0.0817
5,3.639,5.185,2.792,1.857,10.3986,3.5777,3.2583,-0.7199,-1.3374,5.2525,5.6117,10.8642,2.3616,164.56,61.7,86.563,0.776,68.724,0.1181,120.5402,4.0275,3.7059,-0.5164,-1.9878,5.1991,5.6439,10.9218,2.9302,88.5827,0.3699,83.5719,0.0603,43.2032,0.0468,0.0559
6,3.356,6.193,2.593,2.389,8.8439,7.4918,7.3857,0.2018,-1.9066,6.8922,8.8485,15.7407,7.9553,9.47,67.28,85.797,2.913,116.843,0.1021,90.2504,4.9538,3.9933,-0.3794,-3.8151,7.7182,8.4821,16.9658,5.8595,89.9577,0.0312,127.8281,0.0629,44.532,0.4021,0.4078
7,1.106,1.255,1.018,1.232,0.9602,3.2473,2.9571,-0.8094,-1.2684,4.8969,3.8685,8.7654,2.1181,128.19,50.94,86.099,0.872,7.823,0.0574,9.7592,3.9294,3.4072,-0.5037,-2.6944,4.1324,4.4412,8.8035,2.5992,88.6779,0.4411,40.1679,0.1369,8.3345,-0.5113,0.0529
8,0.497,0.938,0.267,3.516,0.1943,6.4477,6.3663,-0.2464,-1.9088,7.3457,7.4691,14.8148,5.6173,77.72,74.12,87.927,0.501,155.204,0.5891,3.6642,4.8004,3.9501,-0.0616,-2.4956,6.3687,7.3755,13.6154,5.414,89.2527,0.5575,103.6882,0.2983,9.26,0.0166,0.0271
9,3.062,3.647,2.811,1.297,7.3617,3.1755,2.8106,-0.8982,-1.0621,5.0399,4.6515,9.6914,1.9487,99.97,52.37,86.1,0.838,85.605,0.082,75.1128,3.5763,3.4937,-0.4428,-1.8624,4.807,4.9564,9.6116,2.7748,87.8503,0.5649,68.0003,0.0765,40.4878,-0.0221,-0.2141
10,0.794,0.988,0.835,1.184,0.4954,3.2546,3.2377,-0.0354,-1.9615,3.3439,4.2487,7.5926,3.1381,141.64,49.81,85.985,0.71,62.072,0.0902,4.8868,3.6304,3.355,-0.2848,-2.6592,3.6501,3.989,7.7507,2.8041,88.7678,0.5475,57.7899,0.2058,1.9503,-0.4052,0.0896
11,1.097,1.444,0.88,1.642,0.945,2.7186,2.1249,-1.4416,0.2415,5.4539,2.8177,8.2716,1.3195,0.81,58.66,85.831,0.803,86.035,0.0427,9.0309,3.017,2.7648,-0.2256,-1.7276,3.7047,4.0336,7.8388,2.7621,87.264,1.2653,87.7023,0.1517,8.6498,-0.0152,0.2612
12,0.642,1.057,0.458,2.311,0.3239,5.633,5.5998,-0.0289,-1.9591,5.7748,7.3116,13.0864,5.4351,120.44,66.6,88.274,0.501,30.152,0.7131,7.211,4.661,3.8827,-0.1592,-1.8306,5.6678,6.2252,11.9855,4.3766,88.8781,0.6139,28.4916,0.466,7.9409,-0.6035,-0.3229
13,1.269,1.588,1.147,1.384,1.2651,2.8733,2.7748,-0.4246,-1.7561,3.602,3.7437,7.3457,2.2567,90.23,54.15,85.778,0.86,101.864,0.0643,11.9827,2.8419,2.9226,-0.0947,-1.7533,3.231,4.0739,7.1994,2.7816,87.2011,1.3637,86.5468,0.1688,8.5607,-0.0078,-0.0487
14,1.635,1.779,1.577,1.127,2.0995,2.9705,2.8323,-0.5217,-1.655,3.9091,4.1773,8.0864,2.2206,98.43,48.43,85.631,0.961,129.725,0.1202,19.1424,2.9378,2.9692,-0.0807,-1.6402,3.3058,4.268,7.4321,2.8719,86.8069,1.4269,79.6414,0.1833,10.1087,-0.0793,-0.1131
15,0.429,0.62,0.338,1.833,0.1448,3.1811,3.1573,-0.149,-1.9472,3.4533,3.6455,7.0988,2.908,98.34,61.39,84.938,1.265,146.037,0.0819,1.1211,3.084,3.0675,-0.1311,-1.8408,3.4631,4.2659,7.6782,2.9323,87.3775,1.3035,85.8395,0.1627,7.346,-0.0015,0.0113
16,1.769,2.455,1.468,1.672,2.4577,2.9191,2.8833,-0.1208,-1.9173,3.1541,4.1298,7.284,2.6553,57.0,59.12,85.792,0.976,37.809,0.0891,23.0395,2.7322,2.8343,-0.0225,-1.4114,3.1883,4.1868,7.2799,2.8203,86.4401,1.605,86.1698,0.2013,11.6305,0.013,-0.1271
17,0.53,0.905,0.318,2.843,0.221,5.9345,5.8604,0.2753,-1.8831,5.2268,8.6621,13.8889,6.6687,37.22,70.62,88.274,0.391,119.167,0.5519,5.0275,4.6756,3.9018,-0.0613,-1.8899,5.5846,6.8492,12.4536,4.6745,88.67,0.751,93.4634,0.2731,12.5299,0.0305,0.0076
18,0.619,0.715,0.553,1.294,0.301,4.4091,3.5661,-1.3716,-0.034,8.4907,4.1019,12.5926,2.257,55.33,52.29,87.053,0.726,3.171,0.329,4.0027,4.4252,3.7953,-0.1462,-1.9167,5.2812,5.6592,11.1202,4.1311,88.6509,0.7599,45.299,0.4272,5.4312,-0.3707,-0.2011
19,0.451,0.577,0.419,1.378,0.16,3.1938,3.1703,-0.0634,-1.9471,3.3372,4.2554,7.5926,3.0194,172.81,54.04,86.415,0.766,24.389,0.181,1.7313,3.0644,3.03,-0.1381,-1.7695,3.4147,4.1709,7.6305,2.864,87.3606,1.3678,82.9285,0.1795,6.5184,-0.0584,0.0806
20,0.579,0.862,0.469,1.837,0.2629,3.2272,3.2006,-0.0484,-1.9432,3.353,4.2396,7.5926,3.0614,138.29,61.44,86.454,0.694,83.479,0.3702,3.1401,2.9565,2.9287,-0.0541,-1.4849,3.1764,4.1808,7.2998,2.9458,86.8323,1.5723,73.5681,0.2661,5.1429,-0.2064,-0.0246
21,7.6,8.462,7.331,1.154,45.3589,5.8042,4.9131,-0.9941,-0.7908,9.8078,5.9329,15.7407,3.3142,61.18,49.1,87.484,0.636,38.119,0.0515,704.9722,4.9261,3.9852,-0.4918,-2.5715,7.9847,7.6534,15.9449,4.9673,89.5877,0.1327,87.2474,0.0529,47.1412,0.3392,-0.2928
22,0.693,0.768,0.664,1.156,0.3772,3.0805,2.9425,-0.5081,-1.6712,4.0266,3.9364,7.963,2.3183,177.16,49.15,86.483,0.707,96.366,0.0303,4.2268,3.0702,3.0516,-0.1447,-2.0007,3.3784,4.1816,7.6603,2.864,87.787,1.1825,90.1138,0.1576,6.7605,0.0209,0.118
23,0.57,0.809,0.423,1.914,0.2553,3.133,3.095,-0.177,-1.9143,3.4675,4.2485,7.716,2.7947,142.53,62.41,85.521,0.878,46.196,0.0454,2.2907,3.1088,3.1377,-0.1346,-1.6119,3.4199,4.3498,7.6391,2.8699,87.2732,1.286,68.6929,0.2027,8.163,-0.218,-0.0704
24,0.76,1.038,0.638,1.627,0.4534,5.1379,5.1146,0.0275,-1.9614,5.1146,7.2928,12.4074,5.1146,112.97,58.43,87.206,0.644,14.992,0.223,6.5961,4.8375,3.9772,-0.2056,-3.264,5.291,6.4414,12.078,4.3229,89.8303,0.0972,17.1058,0.3148,5.6466,-0.6996,-0.6448
25,4.693,5.535,4.294,1.289,17.2954,6.8081,6.6315,-0.1357,-1.8538,7.5422,8.1985,15.7407,5.9171,9.13,52.2,87.349,0.739,173.642,0.0152,235.8159,4.9215,3.9872,-0.4478,-2.9592,7.5327,7.8386,15.7511,4.9039,89.7215,0.1026,106.3843,0.0492,46.0377,0.3842,-0.1063
26,0.818,1.221,0.645,1.892,0.5258,3.0421,3.0078,0.2361,-1.8923,2.7392,4.7916,7.5309,3.3347,145.39,62.14,86.025,0.795,55.521,0.197,5.3281,2.897,2.8538,-0.0883,-1.8554,3.1496,4.0584,7.1993,2.8239,87.5246,1.3213,84.985,0.2119,5.1568,-0.1009,0.0816
27,0.631,0.889,0.534,1.664,0.3125,2.9758,2.9441,-0.0786,-1.9249,3.1485,4.1354,7.284,2.7646,74.7,58.99,86.338,0.583,15.293,0.1686,3.5191,2.9693,2.966,-0.1018,-1.7752,3.1851,4.0655,7.2164,2.8315,87.4042,1.3431,72.8512,0.2226,5.1679,-0.1833,-0.0241
28,0.646,0.744,0.599,1.242,0.3277,4.8715,4.7469,-0.384,-1.8111,5.9544,5.7123,11.6667,3.9465,173.61,51.16,87.269,0.551,90.823,0.1412,4.9319,4.5771,3.9045,-0.1305,-2.1417,5.0806,6.378,11.6184,4.4574,88.7897,0.6113,84.4013,0.2682,5.9707,-0.0987,-0.0017
29,4.086,5.221,3.338,1.564,13.1116,6.1781,5.9107,-0.0337,-1.7649,6.7088,9.0319,15.7407,5.2866,33.59,57.41,87.481,0.594,150.21,0.0698,205.2296,4.8746,3.986,-0.4501,-3.2527,6.6532,7.6093,14.6356,4.1951,89.7899,0.0599,125.8888,0.0253,46.9518,0.4889,-0.0932
30,0.889,0.939,0.884,1.063,0.6211,4.6471,4.3111,-0.727,-1.4136,6.7186,4.7629,11.4815,3.1738,117.41,46.74,87.15,0.498,4.084,0.1636,8.5949,4.5956,3.8976,-0.1311,-1.6952,5.3671,6.2083,11.4971,4.3041,88.4516,0.7077,55.5987,0.2945,9.8343,-0.3206,-0.3014
31,1.163,1.538,1.013,1.518,1.0631,3.657,3.6273,-0.0884,-1.9409,3.8705,5.1418,9.0123,3.4127,46.59,56.62,85.771,0.843,89.789,0.086,9.8604,3.4509,3.4483,-0.2569,-1.8285,4.0596,4.7338,8.8187,2.9554,87.767,0.9455,91.9252,0.1049,18.9319,0.1256,0.0289
32,0.418,0.546,0.453,1.206,0.1372,2.9035,2.8756,0.2446,-1.9114,2.588,4.0786,6.6667,3.235,135.36,50.33,85.733,0.794,52.438,0.0856,1.2878,2.7668,2.745,0.0013,-1.5062,2.9608,4.0876,7.0559,2.8755,86.8429,1.5788,78.5981,0.3008,5.125,-0.1957,-0.0093
33,0.744,0.901,0.65,1.386,0.4344,4.8542,4.7571,-0.3087,-1.857,5.7262,6.0022,11.7284,4.0686,66.5,54.2,87.135,0.573,44.165,0.0947,6.1209,4.672,3.9334,-0.1912,-2.1392,5.3926,6.1872,11.5504,4.1909,88.9763,0.4276,53.5976,0.2289,10.1188,-0.3277,-0.3772
34,0.94,1.107,0.847,1.306,0.6935,3.5485,3.3154,-0.6739,-1.4846,5.01,3.5703,8.5802,2.4775,133.98,52.56,85.96,0.865,14.677,0.1326,6.9057,3.846,3.5598,-0.193,-1.7571,4.1208,4.8284,8.8265,3.2686,87.5757,1.1379,55.5353,0.2218,6.1752,-0.3566,-0.0922
35,0.821,0.917,0.804,1.141,0.5296,4.6318,4.5931,-0.1553,-1.9417,5.0484,5.6306,10.679,4.2131,134.43,48.76,86.962,0.648,64.715,0.3806,7.0702,4.7132,3.935,-0.0854,-1.775,5.5001,6.4286,11.8943,4.5152,88.9208,0.5662,41.803,0.412,6.7949,-0.5222,-0.2804
36,1.063,1.605,0.82,1.956,0.8878,5.6283,5.5436,0.3114,-1.8551,4.8755,9.3837,14.2593,6.424,58.63,62.92,87.916,0.438,172.691,0.0341,17.0147,4.7114,3.9346,-0.1609,-1.8372,6.0146,7.1326,13.0978,4.6001,88.6666,0.6252,107.3043,0.1397,30.6061,0.2018,0.0031
37,0.579,0.685,0.535,1.28,0.2629,5.7363,5.5215,-0.4976,-1.7133,7.4068,5.8648,13.2716,4.4012,153.8,52.0,87.513,0.603,12.767,0.3467,4.302,4.8408,3.9567,-0.2867,-2.2903,6.8422,6.692,13.6727,5.0551,89.2561,0.3528,50.3783,0.3702,5.8746,-0.3881,-0.08
38,0.97,1.616,0.712,2.268,0.7392,3.4981,3.4696,-0.0964,-1.9435,3.7146,4.6188,8.3333,3.255,81.66,66.2,86.471,0.792,124.097,0.2382,8.124,3.284,3.2848,-0.1239,-1.5239,3.7905,4.7594,8.4626,3.0739,86.9095,1.2392,89.1099,0.1508,16.2383,0.0599,-0.0855
39,0.557,0.692,0.46,1.506,0.2439,4.6683,4.5826,-0.3013,-1.8671,5.4792,5.5084,10.9877,3.9382,133.42,56.41,87.286,0.572,31.092,0.4441,3.5745,4.3549,3.7498,-0.1369,-2.0076,5.029,5.6078,10.8585,4.0523,88.6407,0.7408,49.4351,0.4107,5.7928,-0.3444,-0.1409
40,13.738,18.245,11.18,1.632,148.2358,6.9915,6.3,-0.8706,-1.1876,10.8192,4.9216,15.7407,4.4674,92.68,58.5,78.72,15.216,44.461,0.0398,868.0091,4.838,3.9535,-0.8423,-2.3802,8.5377,6.7797,15.9417,4.7431,89.3544,0.1354,37.6498,0.0546,49.1221,0.1126,-0.5394
