metric,value,unit
n_crystals,563,—
um_per_px,0.1234567901234568,µm/px
Rq,7.0543,µm
Ra,6.2631,µm
Rsk,1.1041,—
Rku,-0.1794,—
Rv,4.6575,µm
Rp,26.824,µm
Rt,31.4815,µm
Rc,9.5593,µm
FPO,88.746,°
MFOV,0.391,°
FAD,131.031,°
MRV,0.0397,—
SA,66337.5078,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
