id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.513,1.837,1.448,1.269,1.7985,8.032,6.9729,-0.6205,-1.2469,12.0097,10.336,22.3457,5.2776,18.86,51.75,89.054,0.156,20.38,0.5292,72.202,4.9915,3.9972,-0.1794,-1.5005,8.6999,9.8888,19.6654,5.9037,89.8513,0.0484,88.5223,0.3051,48.5774,0.038,0.6568
2,0.859,0.992,0.775,1.281,0.5792,5.9236,5.3058,-0.4937,-1.4454,8.2121,7.8373,16.0494,4.1267,25.47,52.02,88.681,0.226,73.6,0.1747,17.1738,4.9493,3.9792,-0.2938,-1.7301,6.53,8.0977,14.6089,4.4849,88.7584,0.4986,94.7103,0.3719,16.8577,0.3161,0.1633
3,1.336,2.101,0.985,2.133,1.4022,6.0748,5.5012,-0.5764,-1.4307,8.577,8.5834,17.1605,4.1723,79.09,64.89,88.567,0.42,7.866,0.3046,35.3041,4.9827,3.9873,-0.3393,-1.2534,7.7989,9.06,17.4849,4.8057,89.3657,0.1742,62.1695,0.3036,30.7205,-0.2984,-0.3684
4,2.062,2.704,1.648,1.641,3.3379,7.6221,6.6653,-0.7801,-1.0815,12.0344,12.0397,24.0741,4.933,18.16,58.64,88.649,0.497,162.5,0.4784,90.7929,4.954,3.986,-0.23,-1.4374,8.4433,9.776,19.4891,5.513,89.5235,0.2685,125.8557,0.2552,48.4942,0.5571,0.3754
5,1.859,2.763,1.342,2.058,2.713,8.5629,7.5863,-0.5877,-1.3015,12.5145,13.6583,26.1728,5.8162,1.18,64.09,89.051,0.4,116.543,0.2064,108.3926,4.9862,3.996,-0.1863,-1.5655,8.5183,9.8778,19.5457,5.68,89.8311,0.0571,85.1349,0.2992,47.9997,-0.0022,0.8705
6,1.299,1.781,1.034,1.722,1.326,6.0599,5.7331,-0.2381,-1.7235,7.2658,9.7712,17.037,4.88,120.34,59.86,88.721,0.328,86.323,0.2603,38.2812,4.9731,3.9801,-0.0092,-0.7087,6.3603,9.2067,16.9228,5.3019,88.7037,0.2201,77.6765,0.3947,37.4958,-0.273,0.0723
7,2.636,5.038,1.724,2.922,5.4565,5.9075,5.6345,0.0722,-1.6556,6.1977,14.0492,20.2469,5.2207,6.04,71.11,88.526,0.348,168.463,0.2933,141.0504,4.9581,3.9871,-0.0389,-1.2465,7.1202,9.6565,18.6034,5.4491,89.2468,0.1915,107.7828,0.3524,45.3643,0.2618,0.7625
8,2.36,4.305,1.489,2.892,4.3743,7.1268,5.8456,0.1637,-0.8837,8.8859,16.2992,25.1852,5.3841,2.9,70.92,88.859,0.474,7.137,0.4262,137.5976,4.989,3.9957,-0.1701,-1.3947,8.0372,9.8012,19.2139,5.2851,89.763,0.055,82.7012,0.2785,47.4227,-0.0874,0.7884
9,1.5,1.93,1.246,1.549,1.768,5.6475,5.0182,-0.7061,-1.2736,8.431,7.4949,15.9259,3.6964,34.46,57.16,87.916,0.547,168.081,0.1629,32.7621,4.9553,3.9891,-0.2129,-1.8861,7.0945,9.3594,17.7247,4.8994,89.3108,0.2776,122.6129,0.3086,39.4385,0.5807,0.7129
10,1.654,2.245,1.351,1.662,2.1491,6.0405,5.5213,0.1004,-1.3904,6.6836,11.8349,18.5185,4.7326,14.62,58.96,88.6,0.512,94.569,0.2314,59.3203,4.9732,3.9897,-0.2074,-1.4479,8.0783,9.8268,19.3259,5.0368,89.5453,0.1625,109.8606,0.1991,48.8836,0.3508,0.7157
