metric,value,unit
n_crystals,681,—
um_per_px,0.30864197530864196,µm/px
Rq,13.9767,µm
Ra,12.5367,µm
Rsk,1.0282,—
Rku,-0.4494,—
Rv,9.3998,µm
Rp,60.3533,µm
Rt,69.7531,µm
Rc,18.8175,µm
FPO,88.47,°
MFOV,0.406,°
FAD,87.434,°
MRV,0.0381,—
SA,351297.4062,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
