metric,value,unit
n_crystals,397,—
um_per_px,0.1234567901234568,µm/px
Rq,6.7002,µm
Ra,6.229,µm
Rsk,0.6959,—
Rku,-1.024,—
Rv,5.3308,µm
Rp,26.1507,µm
Rt,31.4815,µm
Rc,7.495,µm
FPO,87.652,°
MFOV,0.76,°
FAD,137.167,°
MRV,0.0379,—
SA,46845.1484,µm²
FFT_dominant_angle,92.0,°
Radon_dominant_angle,90.0,°
