metric,value,unit
n_crystals,189,—
um_per_px,0.0617283950617284,µm/px
Rq,5.5831,µm
Ra,5.0402,µm
Rsk,0.7196,—
Rku,-1.0067,—
Rv,4.5327,µm
Rp,11.208,µm
Rt,15.7407,µm
Rc,5.8645,µm
FPO,87.258,°
MFOV,0.872,°
FAD,39.882,°
MRV,0.0535,—
SA,10305.7402,µm²
FFT_dominant_angle,91.0,°
Radon_dominant_angle,90.0,°
