id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,4.144,5.491,3.775,1.455,13.4888,3.2037,3.0221,0.2974,-1.0294,3.206,12.5348,15.7407,2.8582,175.56,55.49,86.796,1.117,92.101,0.1421,180.3435,3.84,3.2885,-0.2715,-1.2239,4.5836,6.9954,11.7404,2.8129,87.0418,1.2418,70.5264,0.1263,41.5305,0.0692,0.4336
2,1.282,3.084,1.007,3.063,1.2917,2.3645,2.1235,1.0599,-0.2965,1.5582,9.2442,10.8025,3.3325,5.47,71.92,88.03,0.713,90.044,0.6985,24.696,2.4421,2.222,-0.0214,-1.4763,2.7421,4.1225,6.9543,2.4751,86.3243,1.3905,62.4337,0.3764,8.0217,0.019,0.3272
3,1.949,3.406,1.175,2.899,2.9835,2.9209,2.2556,-1.253,0.2433,6.0797,4.0438,10.1235,1.743,177.44,70.97,86.693,0.762,25.191,0.2266,35.2222,2.9578,2.6488,-0.2715,-0.9498,4.5322,5.6099,9.9932,2.4043,86.476,1.5331,55.7594,0.1776,33.0822,-0.0439,0.4606
4,1.857,2.046,1.784,1.147,2.7092,2.8646,2.5264,-0.5917,-1.0575,4.217,9.4867,13.7037,1.8135,69.82,48.92,86.74,1.026,72.853,0.1124,34.9935,3.4451,3.0843,-0.3727,-0.9891,4.2428,5.7374,10.0452,2.6632,85.6984,1.4748,84.2083,0.1281,39.5493,0.1309,-0.1618
5,0.394,0.456,0.349,1.306,0.1219,2.0187,1.896,-0.56,-1.5759,2.7324,2.2676,5.0,1.4516,145.21,52.56,85.581,0.802,102.425,0.6219,1.0839,2.3064,2.3005,0.129,-1.6612,2.3046,3.9818,6.5806,2.7624,87.4525,0.7661,60.0238,0.4562,5.9444,-0.3302,0.1305
6,4.121,4.827,3.762,1.283,13.3402,3.5368,3.3322,-0.3393,-1.6859,4.413,5.9574,10.3704,2.7044,114.25,52.07,86.332,0.796,35.141,0.1239,143.8554,3.8198,3.5491,-0.3551,-1.9134,4.4742,6.0063,10.5527,2.9133,88.2966,0.397,73.2461,0.0902,39.9577,-0.2594,-0.3899
7,5.304,7.184,4.141,1.735,22.0965,3.675,3.3662,-0.6477,-1.4201,5.2439,5.25,10.4938,2.4799,14.4,60.04,86.467,0.756,29.351,0.0193,248.4232,4.2328,3.6268,-0.4745,-1.7075,5.5623,6.8852,12.3918,2.9538,88.1783,0.6607,87.5882,0.0775,44.9457,-0.0361,0.1769
8,0.803,1.13,0.606,1.864,0.5068,2.6624,2.6329,-0.0269,-1.9239,2.7516,3.7916,6.5432,2.5241,51.15,61.79,86.041,0.703,165.354,0.1562,5.1399,2.733,2.5366,-0.3631,-1.5755,3.3041,3.8066,7.1983,2.2263,85.9672,1.3324,89.5603,0.16,15.5802,0.1206,-0.0921
9,0.583,0.829,0.48,1.727,0.2667,2.9933,2.9573,-0.1001,-1.9195,3.2037,3.8951,7.0988,2.746,117.9,59.93,86.324,0.747,150.231,0.1771,2.8892,3.193,2.9276,-0.3234,-1.5855,3.6628,4.3395,8.0267,2.6425,86.2643,1.1623,81.0997,0.179,14.2605,0.012,-0.1069
10,1.892,2.456,1.58,1.554,2.8121,3.1247,3.0164,-0.1111,-1.7998,3.4713,5.2324,8.7037,2.6669,97.66,57.25,86.367,0.771,15.982,0.0266,30.1041,3.0898,2.9459,-0.3002,-1.6546,3.5133,4.5763,8.0321,2.5617,86.7641,0.879,78.6907,0.1452,23.0535,-0.05,-0.2593
