metric,value,unit
n_crystals,442,—
um_per_px,0.1234567901234568,µm/px
Rq,7.9888,µm
Ra,7.3586,µm
Rsk,0.6364,—
Rku,-0.9769,—
Rv,6.7649,µm
Rp,24.7165,µm
Rt,31.4815,µm
Rc,8.0852,µm
FPO,87.895,°
MFOV,0.697,°
FAD,140.652,°
MRV,0.0361,—
SA,57316.5469,µm²
FFT_dominant_angle,0.0,°
Radon_dominant_angle,90.0,°
