metric,value,unit
n_crystals,490,—
um_per_px,0.1234567901234568,µm/px
Rq,4.6234,µm
Ra,4.1502,µm
Rsk,1.0384,—
Rku,-0.3356,—
Rv,3.1302,µm
Rp,24.5241,µm
Rt,27.6543,µm
Rc,6.1565,µm
FPO,87.461,°
MFOV,0.76,°
FAD,81.802,°
MRV,0.0279,—
SA,34749.9297,µm²
FFT_dominant_angle,0.0,°
Radon_dominant_angle,90.0,°
