metric,value,unit
n_crystals,330,—
um_per_px,0.1234567901234568,µm/px
Rq,6.2175,µm
Ra,5.4297,µm
Rsk,1.1921,—
Rku,-0.1007,—
Rv,3.8576,µm
Rp,27.2535,µm
Rt,31.1111,µm
Rc,9.1646,µm
FPO,87.821,°
MFOV,0.728,°
FAD,107.26,°
MRV,0.1137,—
SA,35851.1758,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
