id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,2.972,3.829,2.657,1.441,6.9349,6.7665,6.048,-0.3236,-1.4826,8.9472,12.4109,21.358,4.9312,4.8,55.24,88.227,0.499,80.788,0.0508,152.3356,4.915,3.9328,-0.264,-1.0793,7.4036,9.4984,18.0532,4.5711,88.8669,0.6275,89.0011,0.3046,47.8544,-0.0566,0.7731
2,3.935,6.516,2.612,2.494,12.1628,6.1817,5.0205,-0.6878,-0.8978,10.0036,11.4779,21.4815,3.6701,178.87,68.15,87.623,0.77,101.778,0.2259,193.7885,4.967,3.9615,-0.5336,-1.4277,8.4503,9.6674,18.9236,4.266,89.4685,0.316,82.8672,0.3024,49.0184,-0.1437,0.8343
3,6.188,11.673,4.11,2.841,30.0716,7.084,6.7621,0.2431,-1.4814,6.9389,18.9871,25.9259,6.5942,178.07,70.61,87.486,0.834,93.945,0.3568,485.1387,4.955,3.9395,-0.2458,-0.8257,7.9028,9.6958,18.7419,5.0501,88.8785,0.4591,94.0203,0.2878,49.0168,-0.0784,0.6803
4,0.903,1.512,0.569,2.658,0.6401,5.6642,5.2389,-0.3198,-1.5516,7.2035,8.7224,15.9259,4.1163,96.55,69.39,88.05,0.343,35.992,0.4244,12.844,4.6544,3.8647,-0.5525,-1.2806,6.525,6.4278,12.7946,3.5575,86.9879,0.7958,62.8677,0.3356,21.8724,-0.4851,-0.6684
5,3.764,5.33,3.03,1.759,11.1264,6.2422,5.5342,-0.336,-1.4349,8.3603,11.7631,20.1235,4.3604,0.95,60.38,88.142,0.594,152.902,0.3378,233.7466,4.9064,3.927,-0.2452,-1.0578,7.3635,9.475,17.9655,4.6692,88.7691,0.6088,92.2376,0.3136,47.4116,0.0116,0.7374
6,3.815,4.556,4.065,1.121,11.4312,6.4436,6.081,0.2437,-1.5356,6.3436,14.8909,21.2346,5.8533,101.85,48.26,88.229,0.526,161.413,0.1242,253.2578,4.974,3.9529,-0.0719,-1.0868,7.9636,9.7583,18.9353,5.5484,88.2893,0.3164,99.2534,0.2996,49.3375,-0.0806,-0.7224
7,0.776,0.956,0.673,1.421,0.4725,4.4304,4.2371,-0.4994,-1.679,5.7672,4.8501,10.6173,3.3487,130.1,54.87,85.788,0.822,22.708,0.2856,4.5135,4.5287,3.8979,-0.3716,-1.8355,5.2229,5.9127,10.6709,3.5899,87.8766,0.8895,51.0562,0.3113,13.986,-0.6824,-0.0951
8,2.246,3.014,2.085,1.445,3.9628,5.7748,5.6497,-0.039,-1.8426,6.1184,9.6841,15.8025,5.2477,62.34,55.32,87.482,0.712,2.608,0.3764,61.5713,4.8503,3.8971,-0.1093,-1.0327,6.4092,8.8407,15.9911,4.6297,87.2875,0.8281,84.1667,0.3414,42.5527,-0.1938,-0.3706
9,1.52,2.353,1.148,2.05,1.8137,6.2224,5.82,-0.3123,-1.6431,7.7667,10.7518,18.5185,4.7256,177.54,63.99,88.503,0.484,154.381,0.2199,45.718,4.904,3.9241,-0.2215,-1.4208,7.0456,9.3334,17.4677,4.3735,88.8716,0.5732,101.9841,0.3639,45.9201,0.2034,0.7277
10,1.454,1.86,1.157,1.607,1.6613,8.605,6.9922,-0.5947,-0.844,14.8057,11.6141,26.4198,5.8269,83.88,58.1,89.195,0.221,75.168,0.6817,75.5833,4.9761,3.9265,-0.7926,0.0972,9.4429,9.6537,19.4162,4.444,87.7588,0.3942,102.6726,0.4802,49.5218,0.322,-0.8563
11,2.425,2.971,2.132,1.393,4.6182,5.1816,5.0035,-0.1747,-1.7861,5.9163,8.6516,14.5679,4.3347,131.54,54.33,87.264,0.68,28.019,0.3551,64.2172,4.8994,3.9558,0.1363,-1.7547,5.5284,9.4097,16.7568,5.2281,88.4964,0.6364,58.9822,0.2043,47.5327,-0.694,0.1645
12,1.284,1.559,1.142,1.365,1.2955,7.9579,7.4196,-0.0264,-1.5824,8.9926,15.9456,24.9383,6.5148,43.49,53.77,88.823,0.214,84.101,0.5272,45.9807,4.9729,3.9451,-0.3587,-0.6914,8.7399,9.7358,19.1844,5.1723,88.8481,0.2424,111.4804,0.4103,48.808,0.4436,-0.1434
