metric,value,unit
n_crystals,175,—
um_per_px,0.1234567901234568,µm/px
Rq,8.9294,µm
Ra,7.5504,µm
Rsk,1.1442,—
Rku,0.1531,—
Rv,6.4966,µm
Rp,24.9848,µm
Rt,31.4815,µm
Rc,9.3764,µm
FPO,87.359,°
MFOV,0.95,°
FAD,21.042,°
MRV,0.0577,—
SA,42449.3906,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
