metric,value,unit
n_crystals,757,—
um_per_px,0.30864197530864196,µm/px
Rq,33.3222,µm
Ra,32.434,µm
Rsk,0.1628,—
Rku,-1.8055,—
Rv,32.2127,µm
Rp,46.491,µm
Rt,78.7037,µm
Rc,32.7177,µm
FPO,88.969,°
MFOV,0.371,°
FAD,3.264,°
MRV,0.0982,—
SA,732289.5625,µm²
FFT_dominant_angle,88.0,°
Radon_dominant_angle,90.0,°
