id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.834,2.261,1.641,1.378,2.6406,4.1563,3.8182,-0.7527,-1.3574,6.1092,5.4341,11.5432,2.7769,22.44,54.03,86.808,1.259,150.284,0.0891,33.8057,4.3914,3.8569,-0.5492,-1.2354,6.1119,6.0935,12.1848,3.2701,88.667,0.8129,133.4211,0.2723,27.9131,0.3436,0.5301
2,2.84,4.387,2.241,1.957,6.3367,5.1655,5.0807,-0.1328,-1.8944,5.6444,8.2445,13.8889,4.6193,169.03,62.94,87.583,0.922,20.636,0.2087,105.2859,4.8489,3.9665,-0.4197,-1.6942,6.8782,7.6825,14.7127,4.1278,89.2116,0.4522,74.7775,0.2752,43.8315,-0.0897,0.6516
3,1.564,2.332,1.254,1.859,1.9204,5.075,5.0281,-0.0518,-1.9325,5.2927,7.2999,12.5926,4.7886,166.81,61.73,87.386,0.743,163.872,0.1666,29.1545,4.7279,3.9344,-0.1351,-1.9864,5.3975,7.0722,12.6727,4.38,89.3761,0.5317,112.0558,0.2254,25.3342,0.3499,0.4546
4,1.66,2.194,1.634,1.343,2.1643,5.0706,5.0158,0.1961,-1.886,4.6794,8.4071,13.0864,5.4043,72.39,53.33,87.22,0.948,10.019,0.3098,32.2752,4.7844,3.9372,-0.1192,-1.5179,5.6071,7.7522,13.5831,4.3344,88.0472,0.5604,64.8575,0.3288,38.2993,-0.0851,-0.5404
5,1.166,1.672,0.904,1.849,1.0669,5.5355,5.0975,-0.5513,-1.4571,7.6462,8.0945,15.7407,3.8231,179.88,61.59,88.069,0.746,21.871,0.2421,22.186,4.8032,3.9527,-0.2404,-1.7364,6.2042,7.3091,13.7114,4.5057,88.8522,0.3648,66.0353,0.3397,25.9414,-0.2734,0.4725
6,0.672,1.194,0.464,2.574,0.3544,6.0071,5.8718,0.3823,-1.7695,5.069,10.1779,15.2469,6.9767,54.17,68.77,89.053,0.235,156.57,0.2871,14.539,4.8933,3.9514,-0.0341,-1.7243,6.1322,7.954,14.2174,5.0383,88.9554,0.46,134.9182,0.5596,12.7338,0.5668,-0.4414
7,0.54,1.101,0.293,3.755,0.2286,5.4576,5.3562,0.3656,-1.8308,4.591,8.4336,13.0247,6.4275,110.54,75.09,88.406,0.47,16.2,0.8182,5.5718,4.8345,3.9505,0.0691,-2.073,5.4588,7.5605,13.1697,5.1505,88.1266,0.2747,45.7997,0.6202,6.5865,-0.3728,-0.4814
8,0.836,1.994,0.493,4.044,0.5487,3.7575,3.7391,0.1043,-1.9579,3.5953,5.0467,8.642,3.8949,6.16,76.11,86.306,1.059,34.4,0.095,5.9006,3.8151,3.6906,-0.356,-1.8513,4.5381,4.762,9.397,3.2162,88.4635,0.6522,88.2131,0.2669,9.4986,-0.0281,0.2778
9,1.104,1.296,0.969,1.337,0.9564,3.519,3.289,-0.6267,-1.5114,4.8947,4.3029,9.1975,2.4766,107.92,53.21,86.787,0.775,39.427,0.2999,11.8013,3.4746,3.3281,-0.2799,-0.9002,4.538,4.6469,9.2754,3.3019,85.0168,1.5302,77.4622,0.3757,11.1995,-0.0692,-0.377
10,1.26,1.397,1.158,1.206,1.246,4.5055,2.992,-1.4649,1.247,10.5097,5.2311,15.7407,2.1666,89.63,50.34,88.776,0.416,172.565,0.3724,38.1924,4.7978,3.9319,-0.7057,-0.9176,7.4579,7.1813,14.6789,3.4536,87.4758,0.4112,106.8309,0.4092,41.057,0.1156,-0.6596
11,1.751,2.601,1.353,1.923,2.4082,3.4581,3.3399,-0.4379,-1.7521,4.3555,4.163,8.5185,2.7084,12.41,62.52,85.05,1.1,84.507,0.0821,19.5333,3.8712,3.6876,-0.3898,-1.4654,4.9715,5.2085,10.2535,3.2083,88.0698,0.8957,91.1726,0.2156,22.7863,-0.0232,0.3415
12,1.884,2.284,1.721,1.327,2.7892,3.5706,3.2022,-0.8051,-1.1973,5.4563,5.4696,10.9259,2.266,22.92,53.0,87.18,1.014,112.011,0.18,37.8869,3.8772,3.6587,-0.4696,-0.8425,5.3369,5.5904,10.8866,3.0171,87.2414,1.4103,110.4511,0.2538,31.1171,0.1875,0.1917
13,0.435,0.658,0.293,2.243,0.1486,4.8119,4.7712,-0.1368,-1.94,5.2049,5.721,10.9259,4.4041,133.54,65.97,88.176,0.478,35.069,0.7989,3.1141,4.37,3.824,-0.0827,-1.141,5.0717,6.0547,11.122,4.4717,86.2915,0.9074,59.7798,0.5078,5.5052,-0.3217,0.019
14,0.483,0.784,0.342,2.291,0.1829,3.6981,3.6675,0.1091,-1.9195,3.5597,5.5761,9.1358,3.7822,62.75,66.42,87.936,0.486,162.25,0.9102,3.2575,4.0196,3.5982,-0.1926,-0.6548,4.8589,5.8423,10.5583,3.7635,85.4812,1.7722,114.0037,0.6092,8.252,0.3294,-0.5594
15,0.394,0.609,0.306,1.993,0.1219,3.7795,3.7545,-0.1074,-1.9543,4.0226,4.4959,8.5185,3.5198,175.61,63.36,87.598,0.647,98.053,0.5115,2.0181,3.72,3.6314,-0.2187,-0.9801,4.4962,5.1162,9.559,3.6042,87.196,1.3815,100.3094,0.4017,7.7097,0.0838,0.3674
16,2.095,2.523,1.922,1.313,3.4484,3.4209,3.274,-0.4582,-1.7003,4.3856,4.565,8.9506,2.612,106.7,52.7,86.212,1.234,145.921,0.104,36.3645,3.5372,3.4735,-0.65,-1.6981,5.0823,4.3732,9.3083,2.3662,87.7892,0.808,118.3659,0.1622,25.2107,0.3072,-0.5499
17,0.615,0.756,0.634,1.192,0.2972,3.6198,3.5962,-0.1683,-1.953,3.9558,3.9454,7.9012,3.2965,33.11,50.01,84.475,1.262,175.548,0.4591,2.2001,3.8185,3.6698,-0.1697,-0.9214,4.5236,5.4817,9.9272,3.7722,87.1796,1.576,103.2397,0.416,8.404,0.103,0.3863
18,3.426,4.236,2.906,1.458,9.2173,4.3179,4.0371,-0.6037,-1.5193,5.9627,6.5064,12.4691,3.0516,25.6,55.55,86.568,1.188,124.96,0.1085,109.96,4.655,3.9358,-0.3978,-1.8854,5.9453,6.7249,12.925,3.6883,89.4092,0.5169,107.1628,0.1898,39.1303,0.3078,0.5609
19,0.435,0.539,0.495,1.088,0.1486,4.7179,4.6818,0.1161,-1.9303,4.5146,6.5348,11.0494,4.8618,44.04,47.42,88.115,0.445,39.623,0.8676,3.198,4.6998,3.912,0.2245,-1.5061,4.6246,7.2817,12.1502,5.1827,88.1366,0.8423,85.9612,0.6299,4.9515,0.2177,0.1645
20,2.632,3.102,2.506,1.238,5.4412,3.6995,3.6392,-0.0956,-1.8947,3.9777,5.3433,9.321,3.3538,167.49,51.07,86.141,1.12,86.771,0.1387,55.8815,4.0033,3.7598,-0.445,-1.2907,5.3841,5.5434,10.9829,3.197,87.9234,0.8668,77.7906,0.1962,32.4004,-0.1277,0.3883
