id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,3.513,4.264,3.163,1.348,9.6936,4.6784,3.939,-0.8688,-0.8979,7.7103,6.4872,14.1975,2.7749,10.25,53.43,86.689,1.012,174.699,0.2998,116.2651,4.5601,3.6676,-0.4893,0.1921,6.6243,7.8853,15.3677,3.6784,86.8337,0.8717,98.946,0.413,41.0981,0.0233,0.3575
2,2.852,6.485,1.989,3.26,6.3862,4.3922,4.14,0.5519,-1.1933,3.7476,10.6968,14.4444,4.6242,165.87,72.94,87.093,1.004,71.42,0.2127,84.4393,4.6022,3.7919,-0.192,-0.924,5.7324,8.4011,15.0538,3.9667,88.0739,0.6322,78.1911,0.2829,44.83,-0.2816,0.539
3,3.065,4.297,2.665,1.612,7.3769,4.5891,4.0766,-0.1473,-1.3557,5.752,10.7912,16.5432,3.2031,17.0,58.19,87.703,0.763,134.725,0.2419,120.7294,4.4987,3.7676,-0.1195,-0.8692,5.3293,8.2417,14.3635,3.898,86.7731,1.2516,102.6016,0.3049,44.0165,0.0649,0.1406
4,1.365,1.642,1.163,1.412,1.4632,3.727,3.5813,-0.3983,-1.7388,4.6557,5.0973,9.7531,2.9098,137.27,54.69,85.674,0.867,7.453,0.0456,13.7858,3.8092,3.3369,-0.4785,-0.1644,5.4984,5.4791,11.4128,3.3504,87.0259,0.6507,76.2837,0.3704,17.3914,-0.3314,0.3958
5,0.8,0.93,0.714,1.303,0.503,3.4728,2.8184,-1.0674,-0.3992,6.3345,4.9001,11.2346,1.9092,81.55,52.5,87.219,0.561,119.703,0.496,6.96,3.5151,3.1729,-0.3784,-0.0138,4.9586,5.4211,10.5245,3.3248,84.7655,1.465,93.2491,0.3864,17.4564,-0.1,0.0607
6,3.483,6.023,2.748,2.192,9.526,5.4045,5.0761,0.3981,-1.3869,4.9817,14.5245,19.5062,5.2324,173.32,65.47,88.208,0.601,26.102,0.0553,203.7119,4.715,3.8745,-0.1339,-1.1622,5.8168,8.8385,15.7914,4.0946,88.4088,0.5484,90.7154,0.2651,47.0489,-0.1618,0.361
7,1.254,1.728,0.937,1.844,1.2346,4.3237,4.1151,-0.3312,-1.7168,5.3255,6.0325,11.358,3.3531,57.62,61.53,87.023,1.045,149.392,0.7173,17.5133,4.3886,3.4758,-0.4787,0.1838,6.5546,7.1717,14.5657,3.8629,86.2268,1.2702,116.648,0.449,28.2039,0.2364,-0.0452
8,0.87,1.112,0.687,1.619,0.5944,1.6493,0.9981,-2.9958,13.2897,8.2901,2.2037,10.4938,0.9074,86.63,58.3,86.737,0.642,89.493,0.5306,7.0084,3.1096,2.6932,-0.3807,1.3127,5.1655,4.9686,10.3224,3.3607,77.8545,4.1224,92.6128,0.444,16.5394,-0.0415,0.0162
9,0.892,1.169,0.693,1.686,0.6249,2.5002,1.4871,-2.2376,4.2787,7.487,2.8834,10.3704,1.0793,88.31,59.33,86.819,0.888,91.006,0.8078,7.4938,3.2072,2.6859,-0.419,1.2851,5.2317,5.0409,10.5404,3.3291,79.0304,3.6533,95.0082,0.4475,16.4271,-0.0323,0.0458
10,1.238,1.54,1.025,1.503,1.2041,4.1665,3.7994,-0.3702,-1.4525,5.5093,7.4537,12.963,2.9995,59.23,56.37,88.048,0.567,141.88,0.5069,23.7332,4.0019,3.46,-0.2396,-0.1687,5.3223,6.5512,12.302,3.744,84.982,1.7049,91.4858,0.3559,26.8898,-0.1199,0.1095
