metric,value,unit
n_crystals,431,—
um_per_px,0.1234567901234568,µm/px
Rq,6.2245,µm
Ra,5.505,µm
Rsk,1.1305,—
Rku,-0.1417,—
Rv,4.0389,µm
Rp,27.4426,µm
Rt,31.4815,µm
Rc,8.6419,µm
FPO,88.242,°
MFOV,0.531,°
FAD,105.048,°
MRV,0.083,—
SA,47178.1445,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
