id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,1.461,2.404,0.995,2.417,1.6766,5.6465,5.5746,0.0742,-1.9014,5.5746,8.7464,14.321,5.5746,23.71,67.52,87.331,0.995,111.931,0.3578,24.6697,4.8019,3.949,-0.0556,-2.0277,5.9749,8.7813,15.0896,4.8522,88.6266,0.3012,115.1594,0.3435,23.9199,0.6209,0.8991
2,2.323,3.668,1.83,2.004,4.2372,5.7454,5.4974,0.1931,-1.6621,5.6539,11.7535,17.4074,5.4171,154.04,63.48,88.223,0.594,24.094,0.0987,93.097,4.9123,3.9733,0.1387,-1.3862,5.3931,9.5309,16.1158,4.9865,87.884,0.5113,80.1485,0.2205,47.4504,-0.211,0.8073
3,1.945,3.258,1.583,2.058,2.9721,4.7579,4.6028,0.3719,-1.6009,4.195,10.7433,14.9383,5.0985,0.9,64.09,87.88,0.634,117.842,0.2898,54.2013,4.9405,3.9788,0.1388,-1.7128,5.5423,9.6776,16.7461,5.0418,88.2589,0.4025,78.4039,0.2062,48.4695,-0.2864,0.9113
4,1.19,1.691,0.945,1.79,1.1126,4.9551,4.7548,-0.3388,-1.7401,6.07,7.8807,13.9506,3.9081,135.78,60.81,87.38,0.731,22.651,0.278,16.6314,4.785,3.9837,-0.1334,-2.2782,5.87,7.351,13.9503,4.6326,88.8211,0.331,48.454,0.2724,14.9376,-0.7242,-0.1614
5,1.454,2.256,1.046,2.156,1.6613,4.2433,4.1921,0.0505,-1.9134,4.2313,5.8922,10.1235,4.1536,147.56,65.12,86.625,0.754,105.242,0.1407,20.1614,4.3792,3.8708,0.0092,-1.3752,4.5882,6.9295,11.0611,4.4143,85.4915,1.3312,69.4111,0.33,15.2757,-0.4226,0.5954
6,2.955,4.961,2.437,2.035,6.8587,5.9217,5.726,0.1961,-1.7219,5.7134,12.8052,18.5185,5.7388,4.85,63.83,88.199,0.489,136.84,0.3638,142.5093,4.935,3.9741,0.0631,-1.2699,5.9174,9.6411,16.8824,4.9604,88.2493,0.4385,96.6579,0.2298,48.0767,0.1399,0.8435
7,3.004,3.545,3.137,1.13,7.0873,7.9351,7.3176,0.1691,-1.4842,8.3527,16.3386,24.6914,6.6782,3.06,48.49,88.456,0.397,58.43,0.1565,179.0516,4.9675,3.9908,-0.0924,-1.1881,7.7947,9.6923,18.5949,5.4339,89.0947,0.2038,86.4104,0.2425,47.456,0.1245,0.8682
8,4.822,6.159,4.071,1.513,18.2594,6.7629,6.0523,-0.4043,-1.4057,9.1633,13.1823,22.3457,4.6287,178.39,56.54,88.197,0.452,171.635,0.0722,390.9891,4.9937,3.9977,-0.1846,-1.6873,8.4156,9.9263,19.4181,5.4273,89.6328,0.0481,107.7807,0.1728,49.7272,0.245,0.8344
9,4.666,6.201,3.99,1.554,17.1011,6.131,5.6715,-0.009,-1.5872,6.9199,13.2035,20.1235,4.9672,18.89,57.24,88.004,0.532,132.478,0.1514,328.985,4.9668,3.9887,0.0219,-1.8792,6.7133,9.7886,18.0265,5.2343,89.1831,0.1679,105.4923,0.1921,48.7086,0.417,0.9135
10,1.307,1.891,1.115,1.696,1.3413,4.0625,4.0148,-0.077,-1.9207,4.3015,5.3281,9.6296,3.7638,171.2,59.48,85.951,1.07,67.997,0.1962,12.9499,4.3694,3.8799,-0.0042,-1.3575,4.5802,6.5903,10.7413,4.3713,85.6286,1.1924,71.7241,0.3342,12.8397,-0.3763,0.5138
