metric,value,unit
n_crystals,252,—
um_per_px,0.1234567901234568,µm/px
Rq,6.523,µm
Ra,5.676,µm
Rsk,1.1379,—
Rku,0.6185,—
Rv,4.8995,µm
Rp,26.582,µm
Rt,31.4815,µm
Rc,6.7496,µm
FPO,87.075,°
MFOV,0.903,°
FAD,7.239,°
MRV,0.0618,—
SA,38642.9453,µm²
FFT_dominant_angle,90.0,°
Radon_dominant_angle,90.0,°
