id,cv_diam_um,cv_length_um,cv_width_um,cv_aspect_ratio,cv_area_um2,cv_Rq,cv_Ra,cv_Rsk,cv_Rku,cv_Rv,cv_Rp,cv_Rt,cv_Rc,cv_azimuth_deg,cv_polar_deg,cv_FPO,cv_MFOV,cv_FAD,cv_MRV,cv_SA,cnn_Rq,cnn_Ra,cnn_Rsk,cnn_Rku,cnn_Rv,cnn_Rp,cnn_Rt,cnn_Rc,cnn_FPO,cnn_MFOV,cnn_FAD,cnn_MRV,cnn_SA,cnn_az_sin2,cnn_az_cos2
1,6.117,6.867,5.978,1.149,29.3858,6.512,5.491,-0.3467,-1.0599,9.3988,18.2556,27.6543,4.5912,162.89,48.96,87.307,0.833,176.99,0.1482,428.0502,4.8402,3.941,0.0064,-1.5094,7.4693,9.3234,17.6846,4.7931,88.3712,0.5294,106.3742,0.1423,48.2879,0.0139,0.2889
2,8.205,9.848,8.093,1.217,52.873,6.6457,6.0412,0.3412,-1.1805,6.694,19.4788,26.1728,5.5567,144.44,50.59,87.657,0.596,7.941,0.1167,886.0602,4.9212,3.9723,-0.0985,-2.1348,8.1974,9.6605,18.761,5.2179,89.1763,0.5723,70.8105,0.1266,48.3329,-0.1747,0.3925
3,6.341,9.36,4.636,2.019,31.5806,6.7036,6.2203,0.0189,-1.6207,7.4237,15.1689,22.5926,5.6493,13.66,63.65,87.462,0.616,141.173,0.1594,490.9066,4.8288,3.9295,0.084,-1.2006,7.4642,9.2815,17.7351,5.0256,88.3556,0.749,106.6779,0.16,46.6785,-0.0231,0.2672
4,4.757,5.42,4.624,1.172,17.7717,7.8295,7.2142,-0.2848,-1.6168,9.7932,14.2808,24.0741,5.777,144.31,49.53,87.652,0.561,148.494,0.0639,295.1906,4.9522,3.9839,-0.0565,-2.4017,8.3907,9.7907,18.9923,5.1727,89.4001,0.2588,88.8756,0.0887,49.6035,-0.0903,0.5045
5,5.31,6.501,4.481,1.451,22.146,3.9261,3.6638,-0.4574,-1.584,5.1716,7.7914,12.963,2.8367,117.76,55.42,85.205,1.067,29.168,0.0413,182.344,4.3333,3.766,-0.2303,-1.6733,5.3323,7.713,12.945,3.2349,86.2146,0.9204,88.0339,0.1369,46.4589,0.0418,-0.0355
6,0.934,1.634,0.653,2.505,0.6859,3.1305,3.0587,0.4084,-1.782,2.5881,5.0662,7.6543,3.7384,143.63,68.24,83.455,1.508,24.791,0.3558,4.3268,3.2679,3.2318,-0.1155,-2.012,3.6666,4.7401,8.2231,2.9696,85.2995,1.8845,90.0045,0.2473,13.2902,-0.0809,-0.2687
7,1.123,1.717,1.268,1.354,0.9907,3.6401,3.5205,0.5092,-1.6769,2.8711,6.7585,9.6296,4.5496,94.85,53.55,84.963,1.162,132.771,0.0747,7.8984,4.0108,3.6439,-0.1693,-2.1216,4.4132,5.7783,10.2847,3.3665,87.3392,1.0497,95.392,0.195,19.7332,-0.085,-0.1878
8,2.824,3.229,2.568,1.257,6.2643,3.8039,3.6448,-0.3874,-1.7301,4.7482,5.3753,10.1235,2.9575,15.15,51.5,85.129,0.991,132.385,0.0881,51.5201,4.1456,3.679,-0.2023,-1.5872,4.8233,6.9233,11.7202,3.1941,86.1604,1.129,92.9035,0.168,39.6507,-0.045,-0.1096
9,2.74,3.029,2.557,1.185,5.8985,5.4296,5.0295,-0.6564,-1.4528,7.6915,7.6172,15.3086,3.7364,133.68,49.84,85.935,0.901,48.816,0.1267,59.1922,4.7753,3.9091,-0.5518,-2.0264,7.073,8.6936,16.5253,4.2357,88.3565,0.8633,62.9803,0.1419,44.1642,-0.3267,-0.0233
10,2.534,3.391,2.104,1.612,5.045,5.5542,4.9349,-0.738,-1.2199,8.399,7.7738,16.1728,3.5531,111.73,58.18,87.293,0.568,175.07,0.262,73.502,4.6838,3.8993,-0.3345,-1.9428,6.5607,8.1459,15.5529,4.1724,88.3292,0.4281,101.227,0.138,43.2924,-0.013,-0.2604
11,1.014,1.425,0.759,1.878,0.8078,5.5816,5.3057,-0.4491,-1.6701,7.1884,7.1326,14.321,4.2045,92.9,61.97,87.521,0.485,6.526,0.2485,13.0751,4.5262,3.8279,-0.1731,-1.2806,6.6345,7.9019,15.0443,4.8763,87.668,0.9971,93.9807,0.19,35.2279,0.0826,-0.1611
12,2.028,2.78,1.574,1.766,3.2312,5.4108,4.9983,-0.5024,-1.5215,7.3142,8.3648,15.679,3.8138,1.73,60.48,87.206,0.693,33.048,0.0944,46.3173,4.8247,3.9295,-0.2893,-2.065,7.4053,9.1527,17.4878,4.5228,88.6243,0.9098,56.2497,0.1526,43.9418,-0.2738,0.1414
13,2.289,3.356,1.844,1.82,4.1152,3.9447,3.8666,0.3226,-1.7966,3.442,6.9284,10.3704,4.4108,112.32,61.21,85.292,0.916,29.998,0.1842,35.3901,3.7971,3.5619,-0.3369,-1.5418,4.5614,6.1666,10.7528,2.9812,84.9036,1.4091,82.0601,0.1816,39.2488,0.0257,-0.3118
14,1.751,2.595,1.485,1.748,2.4082,3.7784,3.6905,-0.1673,-1.8464,4.235,6.2588,10.4938,3.2701,164.63,60.23,86.151,0.837,76.517,0.2897,23.5569,3.8595,3.5586,-0.3379,-1.7836,4.7504,5.4561,10.1053,3.2815,85.221,1.7995,72.6215,0.2215,25.1854,-0.0699,-0.2639
15,1.4,1.734,1.211,1.432,1.5394,5.2943,4.9955,-0.5377,-1.5979,7.0845,7.6068,14.6914,3.8579,127.08,55.08,85.501,1.061,153.888,0.2167,13.581,4.5397,3.836,-0.4378,-2.2715,6.1443,7.0477,13.8698,4.2024,88.1148,0.6973,88.3694,0.1661,22.0527,-0.0554,-0.3417
16,4.57,5.823,4.027,1.446,16.3999,7.9172,7.059,-0.0012,-1.4903,9.4238,16.2552,25.679,6.7676,163.1,55.34,88.35,0.441,7.906,0.19,377.9308,4.9031,3.9671,-0.2447,-1.423,8.5043,9.5251,18.6648,5.7721,88.7763,0.5292,79.9396,0.1333,48.4247,0.1195,0.1725
17,5.348,7.048,4.304,1.637,22.4661,10.9128,10.1245,-0.0137,-1.6853,12.1909,19.2906,31.4815,9.2746,43.48,58.59,88.293,0.578,178.927,0.084,550.2426,4.9434,3.9819,-0.109,-1.6879,8.9525,9.6842,19.0946,6.4647,89.343,0.3207,89.3346,0.1161,48.9044,0.2394,0.1608
18,5.671,8.266,4.306,1.92,25.2553,6.1698,5.6995,-0.09,-1.5728,7.1993,14.2822,21.4815,4.8609,6.7,62.48,87.375,0.69,149.397,0.2304,377.8566,4.8386,3.9429,-0.1491,-1.4728,7.5747,9.407,17.8553,4.6068,88.2978,0.5345,89.9847,0.1227,49.0641,-0.0162,0.1819
19,2.372,2.702,2.123,1.273,4.4201,3.9032,3.64,-0.5701,-1.5398,5.3387,4.9082,10.2469,2.7614,36.22,51.84,85.679,0.839,13.37,0.0775,41.8054,4.3116,3.7417,-0.3197,-1.6294,5.6798,7.0027,12.7368,3.7484,86.6866,1.1265,78.8685,0.177,37.4439,-0.0221,-0.1681
20,2.687,3.263,2.532,1.289,5.6699,3.9463,3.8487,-0.0846,-1.8238,4.287,7.0711,11.358,3.4918,28.24,52.19,86.485,0.774,134.508,0.2677,63.4063,3.6869,3.5037,-0.3202,-1.5534,4.3989,5.8621,9.9926,2.9323,84.2879,1.9661,76.3292,0.2009,35.3463,-0.0375,-0.1968
